,Instrument,Company Common Name,Date,Price Close,Close Price
2129,BILI.O,,2021-02-09T00:00:00Z,140.12,140.12
2130,BILI.O,,2021-02-10T00:00:00Z,156.37,156.37
2131,BILI.O,,2021-02-11T00:00:00Z,148.52,148.52
2132,BILI.O,,2021-02-12T00:00:00Z,153.12,153.12
2133,BILI.O,,2021-02-16T00:00:00Z,148.84,148.84
2134,BILI.O,,2021-02-17T00:00:00Z,146.84,146.84
2135,BILI.O,,2021-02-18T00:00:00Z,143.47,143.47
2136,BILI.O,,2021-02-19T00:00:00Z,143.6,143.6
2137,BILI.O,,2021-02-22T00:00:00Z,129.11,129.11
2138,BILI.O,,2021-02-23T00:00:00Z,129.26,129.26
2139,BILI.O,,2021-02-24T00:00:00Z,127.14,127.14
2140,BILI.O,,2021-02-25T00:00:00Z,131.84,131.84
2141,BILI.O,,2021-02-26T00:00:00Z,125.97,125.97
2142,BILI.O,,2021-03-01T00:00:00Z,144.67,144.67
2143,BILI.O,,2021-03-02T00:00:00Z,137.94,137.94
2144,BILI.O,,2021-03-03T00:00:00Z,138.78,138.78
2145,BILI.O,,2021-03-04T00:00:00Z,126.66,126.66
2146,BILI.O,,2021-03-05T00:00:00Z,118.84,118.84
2147,BILI.O,,2021-03-08T00:00:00Z,98.59,98.59
2148,BILI.O,,2021-03-09T00:00:00Z,107.4,107.4
2149,BILI.O,,2021-03-10T00:00:00Z,103.1,103.1
2150,BILI.O,,2021-03-11T00:00:00Z,110.44,110.44
2151,BILI.O,,2021-03-12T00:00:00Z,109.99,109.99
2152,BILI.O,,2021-03-15T00:00:00Z,111.65,111.65
2153,BILI.O,,2021-03-16T00:00:00Z,113.31,113.31
2154,BILI.O,,2021-03-17T00:00:00Z,111.35,111.35
2155,BILI.O,,2021-03-18T00:00:00Z,108.82,108.82
2156,BILI.O,,2021-03-19T00:00:00Z,108.86,108.86
2157,BILI.O,,2021-03-22T00:00:00Z,106.88,106.88
2158,BILI.O,,2021-03-23T00:00:00Z,105.99,105.99
2159,BILI.O,,2021-03-24T00:00:00Z,95.7,95.7
2160,BILI.O,,2021-03-25T00:00:00Z,95.65,95.65
2161,BILI.O,,2021-03-26T00:00:00Z,97.08,97.08
2162,BILI.O,,2021-03-29T00:00:00Z,101.54,101.54
2163,BILI.O,,2021-03-30T00:00:00Z,105.05,105.05
2164,BILI.O,,2021-03-31T00:00:00Z,107.06,107.06
2165,BILI.O,,2021-04-01T00:00:00Z,111.98,111.98
2166,BILI.O,,2021-04-05T00:00:00Z,110.42,110.42
2167,BILI.O,,2021-04-06T00:00:00Z,114.15,114.15
2168,BILI.O,,2021-04-07T00:00:00Z,106.75,106.75
2169,BILI.O,,2021-04-08T00:00:00Z,109.15,109.15
2170,BILI.O,,2021-04-09T00:00:00Z,105.8,105.8
2171,BILI.O,,2021-04-12T00:00:00Z,103.0,103.0
2172,BILI.O,,2021-04-13T00:00:00Z,104.43,104.43
2173,BILI.O,,2021-04-14T00:00:00Z,103.04,103.04
2174,BILI.O,,2021-04-15T00:00:00Z,103.0,103.0
2175,BILI.O,,2021-04-16T00:00:00Z,103.48,103.48
2176,BILI.O,,2021-04-19T00:00:00Z,105.72,105.72
2177,BILI.O,,2021-04-20T00:00:00Z,100.64,100.64
2178,BILI.O,,2021-04-21T00:00:00Z,104.16,104.16
2179,BILI.O,,2021-04-22T00:00:00Z,108.15,108.15
2180,BILI.O,,2021-04-23T00:00:00Z,116.66,116.66
2181,BILI.O,,2021-04-26T00:00:00Z,118.46,118.46
2182,BILI.O,,2021-04-27T00:00:00Z,120.16,120.16
2183,BILI.O,,2021-04-28T00:00:00Z,120.64,120.64
2184,BILI.O,,2021-04-29T00:00:00Z,114.62,114.62
2185,BILI.O,,2021-04-30T00:00:00Z,110.86,110.86
2186,BILI.O,,2021-05-03T00:00:00Z,106.13,106.13
2187,BILI.O,,2021-05-04T00:00:00Z,106.34,106.34
2188,BILI.O,,2021-05-05T00:00:00Z,105.07,105.07
2189,BILI.O,,2021-05-06T00:00:00Z,104.11,104.11
2190,BILI.O,,2021-05-07T00:00:00Z,101.67,101.67
2191,BILI.O,,2021-05-10T00:00:00Z,94.64,94.64
2192,BILI.O,,2021-05-11T00:00:00Z,97.85,97.85
2193,BILI.O,,2021-05-12T00:00:00Z,93.9,93.9
2194,BILI.O,,2021-05-13T00:00:00Z,87.49,87.49
2195,BILI.O,,2021-05-14T00:00:00Z,96.87,96.87
2196,BILI.O,,2021-05-17T00:00:00Z,98.24,98.24
2197,BILI.O,,2021-05-18T00:00:00Z,101.06,101.06
2198,BILI.O,,2021-05-19T00:00:00Z,102.46,102.46
2199,BILI.O,,2021-05-20T00:00:00Z,102.8,102.8
2200,BILI.O,,2021-05-21T00:00:00Z,102.43,102.43
2201,BILI.O,,2021-05-24T00:00:00Z,101.18,101.18
2202,BILI.O,,2021-05-25T00:00:00Z,102.47,102.47
2203,BILI.O,,2021-05-26T00:00:00Z,103.6,103.6
2204,BILI.O,,2021-05-27T00:00:00Z,104.0,104.0
2205,BILI.O,,2021-05-28T00:00:00Z,107.18,107.18
2206,BILI.O,,2021-06-01T00:00:00Z,113.53,113.53
2207,BILI.O,,2021-06-02T00:00:00Z,111.93,111.93
2208,BILI.O,,2021-06-03T00:00:00Z,105.24,105.24
2209,BILI.O,,2021-06-04T00:00:00Z,108.93,108.93
2210,BILI.O,,2021-06-07T00:00:00Z,104.63,104.63
2211,BILI.O,,2021-06-08T00:00:00Z,107.75,107.75
2212,BILI.O,,2021-06-09T00:00:00Z,107.04,107.04
2213,BILI.O,,2021-06-10T00:00:00Z,112.21,112.21
2214,BILI.O,,2021-06-11T00:00:00Z,111.41,111.41
2215,BILI.O,,2021-06-14T00:00:00Z,115.45,115.45
2216,BILI.O,,2021-06-15T00:00:00Z,111.11,111.11
2217,BILI.O,,2021-06-16T00:00:00Z,111.45,111.45
2218,BILI.O,,2021-06-17T00:00:00Z,114.39,114.39
2219,BILI.O,,2021-06-18T00:00:00Z,118.38,118.38
2220,BILI.O,,2021-06-21T00:00:00Z,113.58,113.58
2221,BILI.O,,2021-06-22T00:00:00Z,110.13,110.13
2222,BILI.O,,2021-06-23T00:00:00Z,114.36,114.36
2223,BILI.O,,2021-06-24T00:00:00Z,121.59,121.59
2224,BILI.O,,2021-06-25T00:00:00Z,124.45,124.45
2225,BILI.O,,2021-06-28T00:00:00Z,126.85,126.85
2226,BILI.O,,2021-06-29T00:00:00Z,125.56,125.56
2227,BILI.O,,2021-06-30T00:00:00Z,121.84,121.84
2228,BILI.O,,2021-07-01T00:00:00Z,121.11,121.11
2229,BILI.O,,2021-07-02T00:00:00Z,119.58,119.58
2230,BILI.O,,2021-07-06T00:00:00Z,108.66,108.66
2231,BILI.O,,2021-07-07T00:00:00Z,103.98,103.98
2232,BILI.O,,2021-07-08T00:00:00Z,100.2,100.2
2233,BILI.O,,2021-07-09T00:00:00Z,106.74,106.74
2234,BILI.O,,2021-07-12T00:00:00Z,106.98,106.98
2235,BILI.O,,2021-07-13T00:00:00Z,110.38,110.38
2236,BILI.O,,2021-07-14T00:00:00Z,108.59,108.59
2237,BILI.O,,2021-07-15T00:00:00Z,110.12,110.12
2238,BILI.O,,2021-07-16T00:00:00Z,109.01,109.01
2239,BILI.O,,2021-07-19T00:00:00Z,108.48,108.48
2240,BILI.O,,2021-07-20T00:00:00Z,111.92,111.92
2241,BILI.O,,2021-07-21T00:00:00Z,115.58,115.58
2242,BILI.O,,2021-07-22T00:00:00Z,108.66,108.66
2243,BILI.O,,2021-07-23T00:00:00Z,95.21,95.21
2244,BILI.O,,2021-07-26T00:00:00Z,87.46,87.46
2245,BILI.O,,2021-07-27T00:00:00Z,82.73,82.73
2246,BILI.O,,2021-07-28T00:00:00Z,92.56,92.56
2247,BILI.O,,2021-07-29T00:00:00Z,89.38,89.38
2248,BILI.O,,2021-07-30T00:00:00Z,85.58,85.58
2249,BILI.O,,2021-08-02T00:00:00Z,90.38,90.38
2250,BILI.O,,2021-08-03T00:00:00Z,84.0,84.0
2251,BILI.O,,2021-08-04T00:00:00Z,82.91,82.91
2252,BILI.O,,2021-08-05T00:00:00Z,80.34,80.34
2253,BILI.O,,2021-08-06T00:00:00Z,78.68,78.68
2254,BILI.O,,2021-08-09T00:00:00Z,82.0,82.0
2255,BILI.O,,2021-08-10T00:00:00Z,80.19,80.19
2256,BILI.O,,2021-08-11T00:00:00Z,80.37,80.37
2257,BILI.O,,2021-08-12T00:00:00Z,79.94,79.94
2258,BILI.O,,2021-08-13T00:00:00Z,74.1,74.1
2259,BILI.O,,2021-08-16T00:00:00Z,69.46,69.46
2260,BILI.O,,2021-08-17T00:00:00Z,67.78,67.78
2261,BILI.O,,2021-08-18T00:00:00Z,68.46,68.46
2262,BILI.O,,2021-08-19T00:00:00Z,64.33,64.33
2263,BILI.O,,2021-08-20T00:00:00Z,66.54,66.54
2264,BILI.O,,2021-08-23T00:00:00Z,70.12,70.12
2265,BILI.O,,2021-08-24T00:00:00Z,78.41,78.41
2266,BILI.O,,2021-08-25T00:00:00Z,79.62,79.62
2267,BILI.O,,2021-08-26T00:00:00Z,77.49,77.49
2268,BILI.O,,2021-08-27T00:00:00Z,75.33,75.33
2269,BILI.O,,2021-08-30T00:00:00Z,74.13,74.13
2270,BILI.O,,2021-08-31T00:00:00Z,80.23,80.23
2271,BILI.O,,2021-09-01T00:00:00Z,84.56,84.56
2272,BILI.O,,2021-09-02T00:00:00Z,83.73,83.73
2273,BILI.O,,2021-09-03T00:00:00Z,85.95,85.95
2274,BILI.O,,2021-09-07T00:00:00Z,91.14,91.14
2275,BILI.O,,2021-09-08T00:00:00Z,85.8,85.8
2276,BILI.O,,2021-09-09T00:00:00Z,83.83,83.83
2277,BILI.O,,2021-09-10T00:00:00Z,83.46,83.46
2278,BILI.O,,2021-09-13T00:00:00Z,80.53,80.53
2279,BILI.O,,2021-09-14T00:00:00Z,79.5,79.5
2280,BILI.O,,2021-09-15T00:00:00Z,76.24,76.24
2281,BILI.O,,2021-09-16T00:00:00Z,72.72,72.72
2282,BILI.O,,2021-09-17T00:00:00Z,74.44,74.44
2283,BILI.O,,2021-09-20T00:00:00Z,69.78,69.78
2284,BILI.O,,2021-09-21T00:00:00Z,70.56,70.56
2285,BILI.O,,2021-09-22T00:00:00Z,73.78,73.78
2286,BILI.O,,2021-09-23T00:00:00Z,74.34,74.34
2287,BILI.O,,2021-09-24T00:00:00Z,70.73,70.73
2288,BILI.O,,2021-09-27T00:00:00Z,71.36,71.36
2289,BILI.O,,2021-09-28T00:00:00Z,66.54,66.54
2290,BILI.O,,2021-09-29T00:00:00Z,64.38,64.38
2291,BILI.O,,2021-09-30T00:00:00Z,66.17,66.17
2292,BILI.O,,2021-10-01T00:00:00Z,64.88,64.88
2293,BILI.O,,2021-10-04T00:00:00Z,61.99,61.99
2294,BILI.O,,2021-10-05T00:00:00Z,64.5,64.5
2295,BILI.O,,2021-10-06T00:00:00Z,64.27,64.27
2296,BILI.O,,2021-10-07T00:00:00Z,70.4,70.4
2297,BILI.O,,2021-10-08T00:00:00Z,70.96,70.96
2298,BILI.O,,2021-10-11T00:00:00Z,70.56,70.56
2299,BILI.O,,2021-10-12T00:00:00Z,69.0,69.0
2300,BILI.O,,2021-10-13T00:00:00Z,71.34,71.34
2301,BILI.O,,2021-10-14T00:00:00Z,69.52,69.52
2302,BILI.O,,2021-10-15T00:00:00Z,70.09,70.09
2303,BILI.O,,2021-10-18T00:00:00Z,75.04,75.04
2304,BILI.O,,2021-10-19T00:00:00Z,80.76,80.76
2305,BILI.O,,2021-10-20T00:00:00Z,82.41,82.41
2306,BILI.O,,2021-10-21T00:00:00Z,82.62,82.62
2307,BILI.O,,2021-10-22T00:00:00Z,82.1,82.1
2308,BILI.O,,2021-10-25T00:00:00Z,80.97,80.97
2309,BILI.O,,2021-10-26T00:00:00Z,76.14,76.14
2310,BILI.O,,2021-10-27T00:00:00Z,76.65,76.65
2311,BILI.O,,2021-10-28T00:00:00Z,76.45,76.45
2312,BILI.O,,2021-10-29T00:00:00Z,73.3,73.3
2313,BILI.O,,2021-11-01T00:00:00Z,80.69,80.69
2314,BILI.O,,2021-11-02T00:00:00Z,77.93,77.93
2315,BILI.O,,2021-11-03T00:00:00Z,79.2,79.2
2316,BILI.O,,2021-11-04T00:00:00Z,75.48,75.48
2317,BILI.O,,2021-11-05T00:00:00Z,74.82,74.82
2318,BILI.O,,2021-11-08T00:00:00Z,77.33,77.33
2319,BILI.O,,2021-11-09T00:00:00Z,77.43,77.43
2320,BILI.O,,2021-11-10T00:00:00Z,81.31,81.31
2321,BILI.O,,2021-11-11T00:00:00Z,84.83,84.83
2322,BILI.O,,2021-11-12T00:00:00Z,86.05,86.05
2323,BILI.O,,2021-11-15T00:00:00Z,85.35,85.35
2324,BILI.O,,2021-11-16T00:00:00Z,89.02,89.02
2325,BILI.O,,2021-11-17T00:00:00Z,81.03,81.03
2326,BILI.O,,2021-11-18T00:00:00Z,67.12,67.12
2327,BILI.O,,2021-11-19T00:00:00Z,67.12,67.12
2328,BILI.O,,2021-11-22T00:00:00Z,68.71,68.71
2329,BILI.O,,2021-11-23T00:00:00Z,69.5,69.5
2330,BILI.O,,2021-11-24T00:00:00Z,72.47,72.47
2331,BILI.O,,2021-11-26T00:00:00Z,68.79,68.79
2332,BILI.O,,2021-11-29T00:00:00Z,67.57,67.57
2333,BILI.O,,2021-11-30T00:00:00Z,66.01,66.01
2334,BILI.O,,2021-12-01T00:00:00Z,62.55,62.55
2335,BILI.O,,2021-12-02T00:00:00Z,59.17,59.17
2336,BILI.O,,2021-12-03T00:00:00Z,54.94,54.94
2337,BILI.O,,2021-12-06T00:00:00Z,57.0,57.0
2338,BILI.O,,2021-12-07T00:00:00Z,61.16,61.16
2339,BILI.O,,2021-12-08T00:00:00Z,60.52,60.52
2340,BILI.O,,2021-12-09T00:00:00Z,59.45,59.45
2341,BILI.O,,2021-12-10T00:00:00Z,59.13,59.13
2342,BILI.O,,2021-12-13T00:00:00Z,55.56,55.56
2343,BILI.O,,2021-12-14T00:00:00Z,52.97,52.97
2344,BILI.O,,2021-12-15T00:00:00Z,50.71,50.71
2345,BILI.O,,2021-12-16T00:00:00Z,50.08,50.08
2346,BILI.O,,2021-12-17T00:00:00Z,49.95,49.95
2347,BILI.O,,2021-12-20T00:00:00Z,44.14,44.14
2348,BILI.O,,2021-12-21T00:00:00Z,49.31,49.31
2349,BILI.O,,2021-12-22T00:00:00Z,47.0,47.0
2350,BILI.O,,2021-12-23T00:00:00Z,45.91,45.91
2351,BILI.O,,2021-12-27T00:00:00Z,44.59,44.59
2352,BILI.O,,2021-12-28T00:00:00Z,44.33,44.33
2353,BILI.O,,2021-12-29T00:00:00Z,42.57,42.57
2354,BILI.O,,2021-12-30T00:00:00Z,47.74,47.74
2355,BILI.O,,2021-12-31T00:00:00Z,46.4,46.4
2356,BILI.O,,2022-01-03T00:00:00Z,44.39,44.39
2357,BILI.O,,2022-01-04T00:00:00Z,40.42,40.42
2358,BILI.O,,2022-01-05T00:00:00Z,37.95,37.95
2359,BILI.O,,2022-01-06T00:00:00Z,39.01,39.01
2360,BILI.O,,2022-01-07T00:00:00Z,38.44,38.44
2361,BILI.O,,2022-01-10T00:00:00Z,40.89,40.89
2362,BILI.O,,2022-01-11T00:00:00Z,41.86,41.86
2363,BILI.O,,2022-01-12T00:00:00Z,41.7,41.7
2364,BILI.O,,2022-01-13T00:00:00Z,37.24,37.24
2365,BILI.O,,2022-01-14T00:00:00Z,38.69,38.69
2366,BILI.O,,2022-01-18T00:00:00Z,37.99,37.99
2367,BILI.O,,2022-01-19T00:00:00Z,37.72,37.72
2368,BILI.O,,2022-01-20T00:00:00Z,39.33,39.33
2369,BILI.O,,2022-01-21T00:00:00Z,36.08,36.08
2370,BILI.O,,2022-01-24T00:00:00Z,35.19,35.19
2371,BILI.O,,2022-01-25T00:00:00Z,34.21,34.21
2372,BILI.O,,2022-01-26T00:00:00Z,32.11,32.11
2373,BILI.O,,2022-01-27T00:00:00Z,30.25,30.25
2374,BILI.O,,2022-01-28T00:00:00Z,30.54,30.54
2375,BILI.O,,2022-01-31T00:00:00Z,35.29,35.29
2376,BILI.O,,2022-02-01T00:00:00Z,35.89,35.89
2377,BILI.O,,2022-02-02T00:00:00Z,33.69,33.69
2378,BILI.O,,2022-02-03T00:00:00Z,32.6,32.6
2379,BILI.O,,2022-02-04T00:00:00Z,33.51,33.51
2380,BILI.O,,2022-02-07T00:00:00Z,32.31,32.31
2381,BILI.O,,2022-02-08T00:00:00Z,34.58,34.58
2382,BILI.O,,2022-02-09T00:00:00Z,36.88,36.88
2383,BILI.O,,2022-02-10T00:00:00Z,36.48,36.48
2384,BILI.O,,2022-02-11T00:00:00Z,35.14,35.14
2385,BILI.O,,2022-02-14T00:00:00Z,34.33,34.33
2386,BILI.O,,2022-02-15T00:00:00Z,37.12,37.12
2387,BILI.O,,2022-02-16T00:00:00Z,37.84,37.84
2388,BILI.O,,2022-02-17T00:00:00Z,36.54,36.54
2389,BILI.O,,2022-02-18T00:00:00Z,34.28,34.28
2390,BILI.O,,2022-02-22T00:00:00Z,31.04,31.04
2391,BILI.O,,2022-02-23T00:00:00Z,30.15,30.15
2392,BILI.O,,2022-02-24T00:00:00Z,32.13,32.13
2393,BILI.O,,2022-02-25T00:00:00Z,31.46,31.46
2394,BILI.O,,2022-02-28T00:00:00Z,31.61,31.61
2395,BILI.O,,2022-03-01T00:00:00Z,31.2,31.2
