,Default Spread (BofA High Yield OAS)
2009-09,9.23
2009-09,9.19
2009-09,9.09
2009-09,9.1
2009-09,9.03
2009-09,8.98
2009-09,8.93
2009-09,8.78
2009-09,8.57
2009-09,8.35
2009-09,8.09
2009-09,8.09
2009-09,7.98
2009-09,8.0
2009-09,7.93
2009-09,7.88
2009-09,7.87
2009-09,7.89
2009-09,7.95
2009-09,7.91
2009-09,7.93
2009-10,8.11
2009-10,8.2
2009-10,8.15
2009-10,8.05
2009-10,8.11
2009-10,8.0
2009-10,7.87
2009-10,7.88
2009-10,7.93
2009-10,7.76
2009-10,7.69
2009-10,7.69
2009-10,7.67
2009-10,7.66
2009-10,7.58
2009-10,7.52
2009-10,7.45
2009-10,7.35
2009-10,7.47
2009-10,7.59
2009-10,7.56
2009-10,7.66
2009-10,7.6
2009-11,7.6
2009-11,7.61
2009-11,7.55
2009-11,7.56
2009-11,7.6
2009-11,7.57
2009-11,7.52
2009-11,7.52
2009-11,7.54
2009-11,7.52
2009-11,7.55
2009-11,7.55
2009-11,7.51
2009-11,7.55
2009-11,7.54
2009-11,7.52
2009-11,7.56
2009-11,7.57
2009-11,7.57
2009-11,7.64
2009-11,7.65
2009-12,7.58
2009-12,7.49
2009-12,7.4
2009-12,7.24
2009-12,7.26
2009-12,7.31
2009-12,7.26
2009-12,7.18
2009-12,7.09
2009-12,6.97
2009-12,6.86
2009-12,6.82
2009-12,6.91
2009-12,6.84
2009-12,6.72
2009-12,6.65
2009-12,6.6
2009-12,6.54
2009-12,
2009-12,6.5
2009-12,6.49
2009-12,6.5
2009-12,6.39
2010-01,
2010-01,6.34
2010-01,6.3
2010-01,6.17
2010-01,6.03
2010-01,6.02
2010-01,5.99
2010-01,6.07
2010-01,6.03
2010-01,6.04
2010-01,6.1
2010-01,6.1
2010-01,6.11
2010-01,6.16
2010-01,6.24
2010-01,6.36
2010-01,6.42
2010-01,6.44
2010-01,6.41
2010-01,6.41
2010-01,6.46
2010-01,6.54
2010-02,6.54
2010-02,6.54
2010-02,6.46
2010-02,6.59
2010-02,6.81
2010-02,6.85
2010-02,6.88
2010-02,6.93
2010-02,6.98
2010-02,7.03
2010-02,7.01
2010-02,7.02
2010-02,6.8
2010-02,6.65
2010-02,6.56
2010-02,6.5
2010-02,6.6
2010-02,6.58
2010-02,6.65
2010-02,6.66
2010-02,6.71
2010-03,6.66
2010-03,6.58
2010-03,6.54
2010-03,6.49
2010-03,6.37
2010-03,6.27
2010-03,6.23
2010-03,6.16
2010-03,6.15
2010-03,6.11
2010-03,6.12
2010-03,6.16
2010-03,6.11
2010-03,6.02
2010-03,5.98
2010-03,6.02
2010-03,6.0
2010-03,5.85
2010-03,5.78
2010-03,5.8
2010-03,5.79
2010-03,5.77
2010-03,5.84
2010-04,5.82
2010-04,
2010-04,5.65
2010-04,5.65
2010-04,5.72
2010-04,5.7
2010-04,5.68
2010-04,5.68
2010-04,5.66
2010-04,5.57
2010-04,5.52
2010-04,5.57
2010-04,5.59
2010-04,5.54
2010-04,5.55
2010-04,5.5
2010-04,5.44
2010-04,5.42
2010-04,5.55
2010-04,5.51
2010-04,5.54
2010-04,5.61
2010-05,5.57
2010-05,5.68
2010-05,5.91
2010-05,6.26
2010-05,6.47
2010-05,6.25
2010-05,6.34
2010-05,6.18
2010-05,6.14
2010-05,6.33
2010-05,6.36
2010-05,6.46
2010-05,6.59
2010-05,6.92
2010-05,7.02
2010-05,6.97
2010-05,7.24
2010-05,7.07
2010-05,6.88
2010-05,6.9
2010-05,6.98
2010-06,7.04
2010-06,7.04
2010-06,6.93
2010-06,7.14
2010-06,7.18
2010-06,7.27
2010-06,7.26
2010-06,7.19
2010-06,7.27
2010-06,7.16
2010-06,7.03
2010-06,6.97
2010-06,6.91
2010-06,6.82
2010-06,6.68
2010-06,6.75
2010-06,6.82
2010-06,6.89
2010-06,6.9
2010-06,6.93
2010-06,7.06
2010-06,7.13
2010-07,7.17
2010-07,7.13
2010-07,7.13
2010-07,7.14
2010-07,7.1
2010-07,6.98
2010-07,6.88
2010-07,6.85
2010-07,6.7
2010-07,6.68
2010-07,6.73
2010-07,6.77
2010-07,6.77
2010-07,6.79
2010-07,6.75
2010-07,6.67
2010-07,6.59
2010-07,6.54
2010-07,6.43
2010-07,6.47
2010-07,6.48
2010-07,6.57
2010-07,6.59
2010-08,6.54
2010-08,6.55
2010-08,6.49
2010-08,6.51
2010-08,6.57
2010-08,6.54
2010-08,6.6
2010-08,6.78
2010-08,6.83
2010-08,6.87
2010-08,6.91
2010-08,6.82
2010-08,6.78
2010-08,6.82
2010-08,6.8
2010-08,6.82
2010-08,6.93
2010-08,6.92
2010-08,6.93
2010-08,6.81
2010-08,6.89
2010-08,6.92
2010-09,6.8
2010-09,6.72
2010-09,6.62
2010-09,6.62
2010-09,6.68
2010-09,6.59
2010-09,6.47
2010-09,6.37
2010-09,6.36
2010-09,6.36
2010-09,6.31
2010-09,6.25
2010-09,6.24
2010-09,6.25
2010-09,6.32
2010-09,6.35
2010-09,6.37
2010-09,6.32
2010-09,6.36
2010-09,6.36
2010-09,6.29
2010-09,6.26
2010-10,6.22
2010-10,6.23
2010-10,6.18
2010-10,6.15
2010-10,6.13
2010-10,6.12
2010-10,6.11
2010-10,6.08
2010-10,6.02
2010-10,5.97
2010-10,5.95
2010-10,6.02
2010-10,6.04
2010-10,6.06
2010-10,6.0
2010-10,5.96
2010-10,5.9
2010-10,5.79
2010-10,5.73
2010-10,5.77
2010-10,5.82
2010-10,5.93
2010-11,5.96
2010-11,5.94
2010-11,5.92
2010-11,5.89
2010-11,5.79
2010-11,5.76
2010-11,5.64
2010-11,5.75
2010-11,5.75
2010-11,5.75
