Date,MOVE
2008-02,148.5
2008-02,146.1
2008-02,144.2
2008-02,146.6
2008-02,146.6
2008-02,147.5
2008-02,154.3
2008-02,160.6
2008-02,161.5
2008-02,158.1
2008-02,149.2
2008-02,142.91
2008-02,145.2
2008-02,155.2
2008-03,152.2
2008-03,155.7
2008-03,164.9
2008-03,171.4
2008-03,172.6
2008-03,169.6
2008-03,155.3
2008-03,154.3
2008-03,162.7
2008-03,167.2
2008-03,168.8
2008-03,159.2
2008-03,159.9
2008-03,158.6
2008-03,158.6
2008-03,161.0
2008-03,160.7
2008-03,157.7
2008-03,152.4
2008-03,145.9
2008-03,145.5
2008-04,141.9
2008-04,146.2
2008-04,139.7
2008-04,140.2
2008-04,132.9
2008-04,128.2
2008-04,128.7
2008-04,127.8
2008-04,129.4
2008-04,127.4
2008-04,129.9
2008-04,144.0
2008-04,149.7
2008-04,144.1
2008-04,135.2
2008-04,129.1
2008-04,125.6
2008-04,129.2
2008-04,131.0
2008-04,130.1
2008-04,126.5
2008-04,119.1
2008-05,115.2
2008-05,111.8
2008-05,108.9
2008-05,110.4
2008-05,116.1
2008-05,119.7
2008-05,121.1
2008-05,118.3
2008-05,120.9
2008-05,127.2
2008-05,125.3
2008-05,122.5
2008-05,117.5
2008-05,116.6
2008-05,115.9
2008-05,120.9
2008-05,120.4
2008-05,120.4
2008-05,121.1
2008-05,126.6
2008-05,131.6
2008-05,130.2
2008-06,130.5
2008-06,132.7
2008-06,131.9
2008-06,133.8
2008-06,139.6
2008-06,151.0
2008-06,149.6
2008-06,144.6
2008-06,148.9
2008-06,153.7
2008-06,143.5
2008-06,142.2
2008-06,140.4
2008-06,136.8
2008-06,137.8
2008-06,136.7
2008-06,134.8
2008-06,129.8
2008-06,133.7
2008-06,132.5
2008-06,126.0
2008-07,128.5
2008-07,133.1
2008-07,125.1
2008-07,125.1
2008-07,123.0
2008-07,118.9
2008-07,116.1
2008-07,118.7
2008-07,129.2
2008-07,126.0
2008-07,126.0
2008-07,123.4
2008-07,129.4
2008-07,131.0
2008-07,131.1
2008-07,124.9
2008-07,123.7
2008-07,123.8
2008-07,123.4
2008-07,122.7
2008-07,121.3
2008-07,133.8
2008-07,131.7
2008-08,118.3
2008-08,117.2
2008-08,110.3
2008-08,112.3
2008-08,118.8
2008-08,109.1
2008-08,107.4
2008-08,110.9
2008-08,112.3
2008-08,111.8
2008-08,112.1
2008-08,112.8
2008-08,110.1
2008-08,110.7
2008-08,109.4
2008-08,109.8
2008-08,109.6
2008-08,108.2
2008-08,104.1
2008-08,103.0
2008-08,103.0
2008-08,103.0
2008-09,102.4
2008-09,105.9
2008-09,115.2
2008-09,111.8
2008-09,116.3
2008-09,123.8
2008-09,123.7
2008-09,126.1
2008-09,125.4
2008-09,160.3
2008-09,168.4
2008-09,162.0
2008-09,163.5
2008-09,162.3
2008-09,158.1
2008-09,159.5
2008-09,163.8
2008-09,176.3
2008-09,183.6
2008-09,201.0
2008-09,208.5
2008-10,200.5
2008-10,206.7
2008-10,204.8
2008-10,217.3
2008-10,221.1
2008-10,239.8
2008-10,250.1
2008-10,264.6
2008-10,264.6
2008-10,230.4
2008-10,220.5
2008-10,218.9
2008-10,207.3
2008-10,191.6
2008-10,192.9
2008-10,203.8
2008-10,229.7
2008-10,239.4
2008-10,237.0
2008-10,229.9
2008-10,217.2
2008-10,209.4
2008-10,207.2
2008-11,204.6
2008-11,203.0
2008-11,217.5
2008-11,189.0
2008-11,178.1
2008-11,173.2
2008-11,173.2
2008-11,173.2
2008-11,181.4
2008-11,189.5
2008-11,188.4
2008-11,191.6
2008-11,192.0
2008-11,211.6
2008-11,212.9
2008-11,189.0
2008-11,206.2
2008-11,213.9
2008-11,213.9
2008-11,214.0
2008-12,213.3
2008-12,216.6
2008-12,214.7
2008-12,216.9
2008-12,216.4
2008-12,213.4
2008-12,214.7
2008-12,218.9
