,Defaut Spread (BofA EU High Yield)
2007-12,4.91
2008-01,
2008-01,5.01
2008-01,5.07
2008-01,5.18
2008-01,5.23
2008-01,5.25
2008-01,5.65
2008-01,5.71
2008-01,5.76
2008-01,5.9
2008-01,5.95
2008-01,6.01
2008-01,6.09
2008-01,6.18
2008-01,6.39
2008-01,6.6
2008-01,6.68
2008-01,6.5
2008-01,6.44
2008-01,6.46
2008-01,6.37
2008-01,6.35
2008-01,6.63
2008-02,6.57
2008-02,6.54
2008-02,6.74
2008-02,6.81
2008-02,6.91
2008-02,6.98
2008-02,7.17
2008-02,7.24
2008-02,7.2
2008-02,7.01
2008-02,7.11
2008-02,7.07
2008-02,7.12
2008-02,7.16
2008-02,7.11
2008-02,7.1
2008-02,6.96
2008-02,6.89
2008-02,6.91
2008-02,7.03
2008-02,7.35
2008-03,7.44
2008-03,7.57
2008-03,7.46
2008-03,7.48
2008-03,7.65
2008-03,7.75
2008-03,7.68
2008-03,7.7
2008-03,7.93
2008-03,7.94
2008-03,8.11
2008-03,7.96
2008-03,7.91
2008-03,7.9
2008-03,
2008-03,7.91
2008-03,7.64
2008-03,7.57
2008-03,7.57
2008-03,7.51
2008-03,7.65
2008-04,7.52
2008-04,7.44
2008-04,7.32
2008-04,7.15
2008-04,6.91
2008-04,6.92
2008-04,6.97
2008-04,7.06
2008-04,7.05
2008-04,7.09
2008-04,7.06
2008-04,6.91
2008-04,6.76
2008-04,6.6
2008-04,6.59
2008-04,6.46
2008-04,6.34
2008-04,6.32
2008-04,6.3
2008-04,6.2
2008-04,6.22
2008-04,6.22
2008-05,6.22
2008-05,6.03
2008-05,6.05
2008-05,6.05
2008-05,6.02
2008-05,6.11
2008-05,6.16
2008-05,6.13
2008-05,6.03
2008-05,5.92
2008-05,5.87
2008-05,5.84
2008-05,5.73
2008-05,5.74
2008-05,5.54
2008-05,5.58
2008-05,5.64
2008-05,5.62
2008-05,5.67
2008-05,5.63
2008-05,5.56
2008-05,5.65
2008-05,6.15
2008-06,6.24
2008-06,6.27
2008-06,6.35
2008-06,6.2
2008-06,6.19
2008-06,6.13
2008-06,6.3
2008-06,6.35
2008-06,6.3
2008-06,6.24
2008-06,6.17
2008-06,6.19
2008-06,6.22
2008-06,6.23
2008-06,6.43
2008-06,6.53
2008-06,6.73
2008-06,6.99
2008-06,7.14
2008-06,7.45
2008-06,7.33
2008-07,7.45
2008-07,7.48
2008-07,8.08
2008-07,8.13
2008-07,8.25
2008-07,8.35
2008-07,8.25
2008-07,8.37
2008-07,8.3
2008-07,8.28
2008-07,8.39
2008-07,8.42
2008-07,8.37
2008-07,8.2
2008-07,7.97
2008-07,7.98
2008-07,7.9
2008-07,8.04
2008-07,8.04
2008-07,8.1
2008-07,8.15
2008-07,8.22
2008-07,8.35
2008-08,8.68
2008-08,8.74
2008-08,8.73
2008-08,8.68
2008-08,8.81
2008-08,8.81
2008-08,8.75
2008-08,8.62
2008-08,8.67
2008-08,8.68
2008-08,8.67
2008-08,8.62
2008-08,8.66
2008-08,8.67
2008-08,8.65
2008-08,8.65
2008-08,8.77
2008-08,8.8
2008-08,8.72
2008-08,8.73
2008-08,8.66
2008-08,8.72
2008-09,8.77
2008-09,8.7
2008-09,8.73
2008-09,8.78
2008-09,8.95
2008-09,8.83
2008-09,8.92
2008-09,8.94
2008-09,9.04
2008-09,8.95
2008-09,9.36
2008-09,9.86
2008-09,9.97
2008-09,10.52
2008-09,9.89
2008-09,9.88
2008-09,10.24
2008-09,10.49
2008-09,11.19
2008-09,11.45
2008-09,12.05
2008-09,12.08
2008-10,11.95
2008-10,12.43
2008-10,12.89
2008-10,13.97
2008-10,14.27
2008-10,14.91
2008-10,15.53
2008-10,17.12
2008-10,16.72
2008-10,16.73
2008-10,16.85
2008-10,17.43
2008-10,17.78
2008-10,18.06
2008-10,18.34
2008-10,18.9
2008-10,19.3
2008-10,19.86
2008-10,20.51
2008-10,20.25
2008-10,19.71
2008-10,18.69
2008-10,19.19
2008-11,19.23
2008-11,19.01
2008-11,18.7
2008-11,18.71
2008-11,18.78
2008-11,18.85
2008-11,19.09
2008-11,19.15
2008-11,19.36
2008-11,19.4
2008-11,19.66
2008-11,19.92
2008-11,20.58
2008-11,21.57
2008-11,21.94
2008-11,22.2
2008-11,22.09
2008-11,22.05
2008-11,22.09
2008-11,21.86
2008-11,21.82
2008-12,22.15
2008-12,22.25
2008-12,22.31
2008-12,22.41
2008-12,22.64
2008-12,22.71
2008-12,22.63
2008-12,22.68
2008-12,22.87
2008-12,23.06
2008-12,23.09
2008-12,23.2
2008-12,23.13
2008-12,23.26
2008-12,23.01
2008-12,23.06
2008-12,22.99
2008-12,22.95
2008-12,
2008-12,22.97
2008-12,22.99
2008-12,22.77
2008-12,22.04
2009-01,
2009-01,22.08
2009-01,20.72
2009-01,19.82
2009-01,18.9
2009-01,18.9
2009-01,18.56
2009-01,18.43
2009-01,18.34
2009-01,18.52
2009-01,18.67
2009-01,18.51
2009-01,18.36
2009-01,18.24
2009-01,18.7
2009-01,18.8
2009-01,18.82
2009-01,18.84
2009-01,18.84
2009-01,18.82
2009-01,18.55
2009-01,18.25
2009-01,19.54
2009-02,19.62
2009-02,19.61
2009-02,19.49
2009-02,19.55
2009-02,19.32
2009-02,19.26
2009-02,19.35
2009-02,19.6
2009-02,19.59
2009-02,19.66
2009-02,19.69
2009-02,20.0
2009-02,20.07
2009-02,20.05
2009-02,20.15
2009-02,20.3
2009-02,20.55
2009-02,20.64
2009-02,20.84
2009-02,21.07
2009-02,20.5
2009-03,20.85
2009-03,21.11
2009-03,21.34
2009-03,21.65
2009-03,21.96
2009-03,22.16
2009-03,22.42
2009-03,22.22
2009-03,22.4
2009-03,22.1
2009-03,21.85
2009-03,21.73
2009-03,21.72
2009-03,21.38
2009-03,21.48
2009-03,21.36
2009-03,21.03
2009-03,20.98
2009-03,20.86
2009-03,20.74
2009-03,20.74
2009-03,19.93
2009-04,20.09
2009-04,20.05
2009-04,19.85
2009-04,19.84
2009-04,19.5
2009-04,19.44
2009-04,19.39
2009-04,
2009-04,19.4
2009-04,19.16
2009-04,18.91
2009-04,18.61
2009-04,18.22
2009-04,18.21
2009-04,18.49
2009-04,18.53
2009-04,18.45
2009-04,18.39
2009-04,18.21
2009-04,18.17
2009-04,18.01
2009-04,18.87
2009-05,18.87
2009-05,18.45
2009-05,18.05
2009-05,17.76
2009-05,17.26
2009-05,17.09
2009-05,17.06
2009-05,17.25
2009-05,17.31
2009-05,17.54
2009-05,17.5
2009-05,17.63
2009-05,17.3
2009-05,16.86
2009-05,16.74
2009-05,16.41
2009-05,16.39
2009-05,16.36
2009-05,16.35
2009-05,16.3
2009-05,15.54
2009-05,15.82
2009-06,15.27
2009-06,15.12
2009-06,15.02
2009-06,14.93
2009-06,14.64
2009-06,14.53
2009-06,14.59
2009-06,14.53
2009-06,14.37
2009-06,14.41
2009-06,14.37
2009-06,14.43
2009-06,14.59
2009-06,14.78
2009-06,14.91
2009-06,15.02
2009-06,15.26
2009-06,15.26
2009-06,15.21
2009-06,15.16
2009-06,14.9
2009-06,14.18
2009-07,14.08
2009-07,14.07
2009-07,14.14
2009-07,14.23
2009-07,14.18
2009-07,14.2
2009-07,14.21
2009-07,14.27
2009-07,14.31
2009-07,14.13
2009-07,13.91
2009-07,13.97
2009-07,13.78
2009-07,13.56
2009-07,13.43
2009-07,13.32
2009-07,13.15
2009-07,12.98
2009-07,12.81
2009-07,12.66
2009-07,12.7
2009-07,12.53
2009-07,11.59
2009-08,11.34
2009-08,11.04
2009-08,10.98
2009-08,10.86
2009-08,10.68
