,0
2020-12-04,-0.4523
2020-12-11,-0.4281
2020-12-18,-0.386
2020-12-25,-0.4245
2021-01-01,-0.4814
2021-01-08,-0.4951
2021-01-15,-0.5376
2021-01-22,-0.5201
2021-01-29,-0.2772
2021-02-05,-0.5853
2021-02-12,-0.7681
2021-02-19,-0.6648
2021-02-26,-0.4606
2021-03-05,-0.42
2021-03-12,-0.5122
2021-03-19,-0.5567
2021-03-26,-0.6338
2021-04-02,-0.7265
2021-04-09,-0.8209
2021-04-16,-0.7747
2021-04-23,-0.7264
2021-04-30,-0.814
2021-05-07,-0.8121
2021-05-14,-0.7582
2021-05-21,-0.7224
2021-05-28,-0.8173
2021-06-04,-0.8557
2021-06-11,-0.7986
2021-06-18,-0.7825
2021-06-25,-0.8117
2021-07-02,-0.8495
2021-07-09,-0.7197
2021-07-16,-0.8082
2021-07-23,-0.5777
2021-07-30,-0.773
2021-08-06,-0.684
2021-08-13,-0.8713
2021-08-20,-0.6265
2021-08-27,-0.7748
2021-09-03,-0.7665
2021-09-10,-0.72
2021-09-17,-0.6849
2021-09-24,-0.556
2021-10-01,-0.6445
2021-10-08,-0.6484
2021-10-15,-0.7383
2021-10-22,-0.9115
2021-10-29,-0.8166
2021-11-05,-0.6892
2021-11-12,-0.7946
2021-11-19,-0.6999
2021-11-26,-0.5015
2021-12-03,-0.1823
2021-12-10,-0.7172
2021-12-17,-0.5114
2021-12-24,-0.5951
2021-12-31,-0.7799
2022-01-07,-0.7172
2022-01-14,-0.6759
2022-01-21,-0.4036
2022-01-28,-0.2218
2022-02-04,-0.5309
2022-02-11,-0.6086
2022-02-18,-0.1865
2022-02-25,-0.0303
2022-03-04,0.2702
2022-03-11,0.1187
2022-03-18,-0.3319
2022-03-25,-0.6314
2022-04-01,-0.4912
2022-04-08,-0.3955
2022-04-15,-0.3067
2022-04-22,-0.4115
2022-04-29,0.153
2022-05-06,0.1757
2022-05-13,0.5263
2022-05-20,0.2758
2022-05-27,0.2621
2022-06-03,-0.1866
2022-06-10,-0.0803
2022-06-17,-0.0251
2022-06-24,0.3458
2022-07-01,0.5764
2022-07-08,0.3921
2022-07-15,0.036
2022-07-22,-0.2905
2022-07-29,-0.2047
2022-08-05,-0.4996
2022-08-12,-0.4224
2022-08-19,-0.3866
2022-08-26,-0.2319
2022-09-02,-0.1624
2022-09-09,-0.3344
2022-09-16,-0.4654
2022-09-23,0.0971
2022-09-30,0.4766
2022-10-07,0.1373
2022-10-14,0.2505
2022-10-21,-0.1742
2022-10-28,-0.3079
2022-11-04,-0.4075
2022-11-11,-0.3373
2022-11-18,-0.2291
2022-11-25,-0.2399
2022-12-02,-0.1266
2022-12-09,0.1103
2022-12-16,-0.007
2022-12-23,0.0031
2022-12-30,-0.0613
2023-01-06,-0.1735
2023-01-13,-0.4219
2023-01-20,-0.3937
2023-01-27,-0.5189
2023-02-03,-0.5585
2023-02-10,-0.6294
2023-02-17,-0.4855
2023-02-24,-0.2477
2023-03-03,-0.4599
2023-03-10,-0.0991
2023-03-17,1.094
2023-03-24,0.2517
2023-03-31,-0.2881
2023-04-07,-0.1001
2023-04-14,-0.4956
2023-04-21,-0.6688
2023-04-28,-0.2964
2023-05-05,-0.3394
2023-05-12,-0.5188
2023-05-19,-0.4576
2023-05-26,-0.3356
2023-06-02,-0.4744
2023-06-09,-0.6992
2023-06-16,-0.6145
2023-06-23,-0.5923
2023-06-30,-0.6993
2023-07-07,-0.7544
2023-07-14,-0.6917
2023-07-21,-0.7363
2023-07-28,-0.7648
2023-08-04,-0.7259
2023-08-11,-0.6631
2023-08-18,-0.6318
2023-08-25,-0.6854
2023-09-01,-0.69
2023-09-08,-0.7211
2023-09-15,-0.7147
2023-09-22,-0.7237
2023-09-29,-0.511
2023-10-06,-0.4414
2023-10-13,-0.5401
2023-10-20,-0.3391
2023-10-27,-0.3543
2023-11-03,-0.6061
2023-11-10,-0.7277
2023-11-17,-0.6205
2023-11-24,-0.7304
2023-12-01,-0.529
2023-12-08,-0.4953
2023-12-15,-0.6026
2023-12-22,-0.427
2023-12-29,-0.4128
2024-01-05,-0.5629
