"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"gamma11",0.045259,0.007314,6.188329,0,"Consumer CFNAI"
"beta11",0.971232,0.004498,215.940987,0,"Consumer CFNAI"
"m11",13.4439,0.095405,140.914232,0,"Consumer CFNAI"
"theta11",-0.629727,0.016147,-38.998871,0,"Consumer CFNAI"
"w211",1.001,0.143843,6.958972,0,"Consumer CFNAI"
"alpha12",0.001013,0.000156,6.507602,0,"Consumer VIX"
"gamma12",0.01482,0.002787,5.317888,0,"Consumer VIX"
"beta12",0.990577,0.001989,498.137115,0,"Consumer VIX"
"m12",11.623382,0.109052,106.58533,0,"Consumer VIX"
"theta12",0.094446,0.004583,20.60991,0,"Consumer VIX"
"w212",1.052068,0.182741,5.757163,0,"Consumer VIX"
"alpha13",0.001549,0.00036,4.303736,0.000017,"Consumer VXN"
"gamma13",0.029512,0.007186,4.107125,0.00004,"Consumer VXN"
"beta13",0.982507,0.004138,237.424763,0,"Consumer VXN"
"m13",11.792044,0.136178,86.59303,0,"Consumer VXN"
"theta13",0.101916,0.002701,37.729264,0,"Consumer VXN"
"w213",1.001,0.075432,13.270146,0,"Consumer VXN"
"alpha14",0.08812,0.06244,1.411263,0.158167,"Consumer TermSpread"
"gamma14",0.708144,0.624767,1.133454,0.257024,"Consumer TermSpread"
"beta14",0.002024,0.729799,0.002773,0.997787,"Consumer TermSpread"
"m14",12.200156,0.132335,92.191408,0,"Consumer TermSpread"
"theta14",2.820411,1.77871,1.58565,0.112819,"Consumer TermSpread"
"w214",1.185546,0.14405,8.230109,0,"Consumer TermSpread"
"alpha15",0.088163,0.017589,5.012307,0.000001,"Consumer NewOrders"
"gamma15",0.66929,0.013377,50.033228,0,"Consumer NewOrders"
"beta15",0.001382,0.196921,0.007016,0.994402,"Consumer NewOrders"
