"","Estimate","Std..Error","t.value","Pr...t.."
"gamma91",0.71915,0.574593,1.251582,0.210722
"beta91",0.001139,1.848382,0.000616,0.999508
"m91",16.400699,0.617593,26.555845,0
"theta91",0.155161,0.016552,9.374001,0
"w291",1.001,0.136162,7.351564,0
"alpha90",0.021015,0.004558,4.610129,0.000004
"gamma90",0.887441,0.474411,1.870619,0.061398
"beta90",0.006461,0.182805,0.035343,0.971806
"m90",16.203824,0.586599,27.623318,0
"theta90",-0.052149,0.009595,-5.434905,0
"w290",1.001,0.458567,2.182889,0.029044
"alpha89",0.033902,0.002053,16.512361,0
"gamma89",1.891361,0.103354,18.299842,0
"beta89",0.001143,0.054219,0.021081,0.983181
"m89",17.291391,0.074624,231.712277,0
"theta89",1.124054,0.036897,30.464552,0
"w289",1.252965,0.044353,28.249803,0
"alpha88",0.000184,0.000006,29.719728,0
"gamma88",0.006743,0.000224,30.153544,0
"beta88",0.995445,0.000135,7382.305722,0
"m88",15.589243,0.061734,252.521643,0
"theta88",0.40538,0.027734,14.616526,0
"w288",1.297496,0.071065,18.257827,0
"alpha87",0.001597,0.001673,0.954376,0.339894
"gamma87",0.091151,0.100132,0.910304,0.362662
"beta87",0.950138,0.051665,18.390216,0
"m87",18.659411,1.260885,14.79866,0
"theta87",-0.952049,0.324953,-2.929802,0.003392
"w287",1.735029,0.173266,10.013685,0
"alpha86",0.033883,0.000944,35.902329,0
"gamma86",1.795563,0.029406,61.061411,0
"beta86",0.004652,0.010484,0.443699,0.65726
"m86",17.119593,0.080861,211.717241,0
"theta86",-0.663968,0.041191,-16.119189,0
"w286",2.374691,0.09303,25.526179,0
"alpha85",0.000159,0.000008,21.055628,0
"gamma85",0.006282,0.000395,15.920614,0
"beta85",0.9957,0.000207,4804.754108,0
"m85",16.032041,0.047478,337.670668,0
"theta85",-0.019395,0.002172,-8.928445,0
"w285",10.914087,0.042579,256.322767,0
"alpha84",0.0344,0.021327,1.613,0.106744
"gamma84",1.792214,1.152513,1.555049,0.119934
"beta84",0.002202,0.613861,0.003587,0.997138
"m84",16.736369,0.397314,42.123753,0
"theta84",-0.839514,0.061158,-13.727056,0
"w284",1.139233,0.154722,7.363122,0
"alpha83",0.03424,0.006099,5.614448,0
"gamma83",1.73337,0.280886,6.171088,0
"beta83",0.033065,0.165703,0.199544,0.841837
"m83",15.865227,0.298522,53.145932,0
"theta83",-0.289687,0.02311,-12.535344,0
"w283",1.052172,0.087422,12.035538,0
