,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,748.0,25787.0,5213.0,6114.0,-286.0,0.12234216552175335,0.14736669937847563,2220.0,12441.0,734.0,1411.0,52.0,1.5733522324592488,0.479801559177888,3.404,1212.775,99.006,161.363,15.289,0.02109529446031618,0.3864392704647286,67.627,3292.347,465.853,742.108,114.159,0.09112824548448474,0.37225713777509467,762.0,72119.0,12742.0,16543.0,941.0,0.046061778395696064,0.22976485522577525
2011-09-30,1234.0,24719.0,5325.0,6376.0,-162.0,0.19353826850690087,0.16483688833124216,2352.0,12311.0,793.0,1623.0,82.0,1.4491682070240295,0.5113986444855206,4.461,1260.376,148.541,239.324,37.379,0.018640002674198995,0.3793309488392305,127.111,3269.055,439.512,722.977,116.098,0.1758161048000144,0.3920802459829289,1142.0,74163.0,13908.0,17727.0,1098.0,0.06442150392057314,0.21543408360128619
2011-12-31,1610.0,23848.0,5019.0,5999.0,-1095.0,0.26837806301050177,0.1633605600933489,1528.0,12938.0,891.0,1631.0,-170.0,0.9368485591661557,0.4537093807480074,12.06,1552.793,166.804,267.308,267.131,0.04511649482993401,0.3759857542610023,190.574,3203.824,448.409,707.39,99.443,0.2694044303707997,0.3661078047470278,1713.0,79986.0,15793.0,19555.0,1393.0,0.08759907951930453,0.19238046535412937
2012-03-31,238.0,24511.0,5152.0,6037.0,-1660.0,0.03942355474573463,0.14659599138645021,930.0,14187.0,919.0,1623.0,-23.0,0.5730129390018485,0.43376463339494764,2.138,1571.717,181.563,294.561,30.06,0.007258258900533336,0.3836149388411908,54.784,3363.499,436.489,711.704,114.262,0.07697582140890033,0.3866986837224464,424.0,80205.0,15615.0,19383.0,923.0,0.021874838776247227,0.194397152143631
2012-06-30,733.0,24726.0,5200.0,6453.0,-240.0,0.11359057802572448,0.1941732527506586,2910.0,15983.0,985.0,1866.0,79.0,1.5594855305466238,0.4721329046087889,5.504,1491.775,149.706,239.137,9.335,0.023016095376290575,0.3739739145343465,126.623,3302.707,410.392,684.894,50.089,0.18487970401259174,0.40079486752694576,780.0,81595.0,16299.0,20005.0,967.0,0.03899025243689078,0.18525368657835542
2012-09-30,1153.0,23927.0,5190.0,6428.0,-239.0,0.17937149968886124,0.1925948973242066,2908.0,16376.0,1073.0,2170.0,280.0,1.3400921658986176,0.5055299539170507,13.425,1507.173,182.652,300.586,25.541,0.04466275874458558,0.3923469489596988,218.708,3362.655,418.497,661.226,109.459,0.33076134332285784,0.36708931590711796,1208.0,83654.0,16307.0,20008.0,1032.0,0.06037584966013595,0.18497600959616153
2012-12-31,1888.0,23510.0,4912.0,5937.0,263.0,0.3180057267980462,0.1726461175677952,2003.0,15218.0,977.0,1698.0,-46.0,1.17962308598351,0.4246171967020024,22.392,1603.847,213.692,342.022,28.287,0.06546947272397682,0.3752097818269,280.873,3437.291,471.027,687.596,37.726,0.4084855060238861,0.31496547391200647,1703.0,88896.0,18524.0,22302.0,978.0,0.07636086449645772,0.16940184736794905
2013-03-31,885.0,23852.0,4582.0,6098.0,-341.0,0.1451295506723516,0.24860610036077402,738.0,16557.0,964.0,1691.0,-46.0,0.436428149024246,0.42992312241277353,4.322,1591.726,243.545,399.572,50.674,0.010816573733895269,0.3904853192916421,55.335,3450.445,365.442,586.597,83.987,0.09433222467895336,0.3770135203555422,521.0,90447.0,15308.0,18893.0,1106.0,0.02757635102948182,0.18975281850420792
2013-06-30,1804.0,26216.0,4546.0,6449.0,219.0,0.2797332919832532,0.29508450922623664,2928.0,18496.0,1030.0,2002.0,-28.0,1.4625374625374625,0.4855144855144855,10.051,1675.367,213.174,346.688,28.254,0.02899148513937604,0.38511283920989475,103.168,3335.949,358.599,576.842,82.739,0.17884966767329705,0.37834103619361975,976.0,92091.0,17996.0,21815.0,1088.0,0.04473985789594316,0.175063030025212
2013-09-30,2400.0,26780.0,4703.0,6828.0,289.0,0.351493848857645,0.31121851200937317,2564.0,17804.0,1188.0,2394.0,118.0,1.0710108604845447,0.5037593984962406,14.257,1733.055,220.963,363.269,47.093,0.03924639867426067,0.3917372525593982,135.028,3470.065,353.925,591.196,90.512,0.22839802705025064,0.4013406721290401,1460.0,94633.0,18198.0,22130.0,1158.0,0.06597379123361952,0.17767736104835066
