Date,Instrument,Price Close
2012-02-21,.SPX,1362.21
2012-02-22,.SPX,1357.66
2012-02-23,.SPX,1363.46
2012-02-24,.SPX,1365.74
2012-02-27,.SPX,1367.59
2012-02-28,.SPX,1372.18
2012-02-29,.SPX,1365.68
2012-03-01,.SPX,1374.09
2012-03-02,.SPX,1369.63
2012-03-05,.SPX,1364.33
2012-03-06,.SPX,1343.36
2012-03-07,.SPX,1352.63
2012-03-08,.SPX,1365.91
2012-03-09,.SPX,1370.87
2012-03-12,.SPX,1371.09
2012-03-13,.SPX,1395.95
2012-03-14,.SPX,1394.28
2012-03-15,.SPX,1402.6
2012-03-16,.SPX,1404.17
2012-03-19,.SPX,1409.75
2012-03-20,.SPX,1405.52
2012-03-21,.SPX,1402.89
2012-03-22,.SPX,1392.78
2012-03-23,.SPX,1397.11
2012-03-26,.SPX,1416.51
2012-03-27,.SPX,1412.52
2012-03-28,.SPX,1405.54
2012-03-29,.SPX,1403.28
2012-03-30,.SPX,1408.47
2012-04-02,.SPX,1419.04
2012-04-03,.SPX,1413.38
2012-04-04,.SPX,1398.96
2012-04-05,.SPX,1398.08
2012-04-05,.SPX,1398.08
2012-04-09,.SPX,1382.2
2012-04-10,.SPX,1358.59
2012-04-11,.SPX,1368.71
2012-04-12,.SPX,1387.57
2012-04-13,.SPX,1370.26
2012-04-16,.SPX,1369.57
2012-04-17,.SPX,1390.78
2012-04-18,.SPX,1385.14
2012-04-19,.SPX,1376.92
2012-04-20,.SPX,1378.53
2012-04-23,.SPX,1366.94
2012-04-24,.SPX,1371.97
2012-04-25,.SPX,1390.69
2012-04-26,.SPX,1399.98
2012-04-27,.SPX,1403.36
2012-04-30,.SPX,1397.91
2012-05-01,.SPX,1405.82
2012-05-02,.SPX,1402.31
2012-05-03,.SPX,1391.57
2012-05-04,.SPX,1369.1
2012-05-07,.SPX,1369.58
2012-05-08,.SPX,1363.72
2012-05-09,.SPX,1354.58
2012-05-10,.SPX,1357.99
2012-05-11,.SPX,1353.39
2012-05-14,.SPX,1338.35
2012-05-15,.SPX,1330.66
2012-05-16,.SPX,1324.8
2012-05-17,.SPX,1304.86
2012-05-18,.SPX,1295.22
2012-05-21,.SPX,1315.99
2012-05-22,.SPX,1316.63
2012-05-23,.SPX,1318.86
2012-05-24,.SPX,1320.68
2012-05-25,.SPX,1317.82
2012-05-25,.SPX,1317.82
2012-05-29,.SPX,1332.42
2012-05-30,.SPX,1313.32
2012-05-31,.SPX,1310.33
2012-06-01,.SPX,1278.04
2012-06-04,.SPX,1278.18
2012-06-05,.SPX,1285.5
2012-06-06,.SPX,1315.13
2012-06-07,.SPX,1314.99
2012-06-08,.SPX,1325.66
2012-06-11,.SPX,1308.93
2012-06-12,.SPX,1324.18
2012-06-13,.SPX,1314.88
2012-06-14,.SPX,1329.1
2012-06-15,.SPX,1342.84
2012-06-18,.SPX,1344.78
2012-06-19,.SPX,1357.98
2012-06-20,.SPX,1355.69
2012-06-21,.SPX,1325.51
2012-06-22,.SPX,1335.02
2012-06-25,.SPX,1313.72
2012-06-26,.SPX,1319.99
2012-06-27,.SPX,1331.85
2012-06-28,.SPX,1329.04
2012-06-29,.SPX,1362.16
2012-07-02,.SPX,1365.51
2012-07-03,.SPX,1374.02
2012-07-03,.SPX,1374.02
2012-07-05,.SPX,1367.58
2012-07-06,.SPX,1354.68
2012-07-09,.SPX,1352.46
2012-07-10,.SPX,1341.47
2012-07-11,.SPX,1341.45
2012-07-12,.SPX,1334.76
2012-07-13,.SPX,1356.78
2012-07-16,.SPX,1353.64
2012-07-17,.SPX,1363.67
2012-07-18,.SPX,1372.78
2012-07-19,.SPX,1376.51
