,Instrument,Price Close,Date
73749,URI.N,165.16,2019-12-16T00:00:00Z
73750,URI.N,164.51,2019-12-17T00:00:00Z
73751,URI.N,166.2,2019-12-18T00:00:00Z
73752,URI.N,165.69,2019-12-19T00:00:00Z
73753,URI.N,167.33,2019-12-20T00:00:00Z
73754,URI.N,168.92,2019-12-23T00:00:00Z
73755,URI.N,168.44,2019-12-24T00:00:00Z
73756,URI.N,169.82,2019-12-26T00:00:00Z
73757,URI.N,168.53,2019-12-27T00:00:00Z
73758,URI.N,168.36,2019-12-30T00:00:00Z
73759,URI.N,166.77,2019-12-31T00:00:00Z
73760,URI.N,168.65,2020-01-02T00:00:00Z
73761,URI.N,165.71,2020-01-03T00:00:00Z
73762,URI.N,165.38,2020-01-06T00:00:00Z
73763,URI.N,165.08,2020-01-07T00:00:00Z
73764,URI.N,164.81,2020-01-08T00:00:00Z
73765,URI.N,163.23,2020-01-09T00:00:00Z
73766,URI.N,159.47,2020-01-10T00:00:00Z
73767,URI.N,157.44,2020-01-13T00:00:00Z
73768,URI.N,154.34,2020-01-14T00:00:00Z
73769,URI.N,154.89,2020-01-15T00:00:00Z
73770,URI.N,157.65,2020-01-16T00:00:00Z
73771,URI.N,158.72,2020-01-17T00:00:00Z
73772,URI.N,154.99,2020-01-21T00:00:00Z
73773,URI.N,155.27,2020-01-22T00:00:00Z
73774,URI.N,155.15,2020-01-23T00:00:00Z
73775,URI.N,151.65,2020-01-24T00:00:00Z
73776,URI.N,146.27,2020-01-27T00:00:00Z
73777,URI.N,150.5,2020-01-28T00:00:00Z
73778,URI.N,152.26,2020-01-29T00:00:00Z
73779,URI.N,141.58,2020-01-30T00:00:00Z
73780,URI.N,135.69,2020-01-31T00:00:00Z
73781,URI.N,139.52,2020-02-03T00:00:00Z
73782,URI.N,147.53,2020-02-04T00:00:00Z
73783,URI.N,154.38,2020-02-05T00:00:00Z
73784,URI.N,152.61,2020-02-06T00:00:00Z
73785,URI.N,149.75,2020-02-07T00:00:00Z
73786,URI.N,150.75,2020-02-10T00:00:00Z
73787,URI.N,154.05,2020-02-11T00:00:00Z
73788,URI.N,158.87,2020-02-12T00:00:00Z
73789,URI.N,160.08,2020-02-13T00:00:00Z
73790,URI.N,156.86,2020-02-14T00:00:00Z
73791,URI.N,153.98,2020-02-18T00:00:00Z
73792,URI.N,153.55,2020-02-19T00:00:00Z
73793,URI.N,155.72,2020-02-20T00:00:00Z
73794,URI.N,151.41,2020-02-21T00:00:00Z
73795,URI.N,141.95,2020-02-24T00:00:00Z
73796,URI.N,134.64,2020-02-25T00:00:00Z
73797,URI.N,131.72,2020-02-26T00:00:00Z
73798,URI.N,129.64,2020-02-27T00:00:00Z
73799,URI.N,132.48,2020-02-28T00:00:00Z
73800,URI.N,135.8,2020-03-02T00:00:00Z
73801,URI.N,128.64,2020-03-03T00:00:00Z
73802,URI.N,130.16,2020-03-04T00:00:00Z
73803,URI.N,119.82,2020-03-05T00:00:00Z
73804,URI.N,115.67,2020-03-06T00:00:00Z
73805,URI.N,98.96,2020-03-09T00:00:00Z
73806,URI.N,107.42,2020-03-10T00:00:00Z
73807,URI.N,99.72,2020-03-11T00:00:00Z
