date,MOVE,SPX,SKEWX,RVOL,VIX,VVIX,CESIUSD,GPR,Year_Week,GEP,Returns,Squared Returns
2013-12-31,73.5,1848.36,133.63,9.63,13.72,70.83,52.2,70.37248992919922,2013-12-01,119.2406061654542,0.39518351004493735,0.1561700066114371
2014-01-02,73.4,1831.98,121.77,10.1,14.23,73.14,53.3,77.91596984863281,2014-01-01,110.92896443029215,-0.8901410280449841,0.7923510498089811
2014-01-03,72.7,1831.37,134.46,10.03,13.76,70.03,53.4,77.91596984863281,2014-01-01,110.92896443029215,-0.03330285152322327,0.0011090799195778546
2014-01-06,69.9,1826.77,131.99,10.06,13.55,68.33,49.1,77.91596984863281,2014-01-01,110.92896443029215,-0.2514940611652187,0.06324926280137477
2014-01-07,73.8,1837.88,129.1,10.17,12.92,68.33,61.0,77.91596984863281,2014-01-01,110.92896443029215,0.606335341031303,0.36764254578354655
2014-01-08,75.3,1837.49,129.46,9.42,12.87,68.33,63.4,77.91596984863281,2014-01-01,110.92896443029215,-0.021222353203285235,0.00045038827548499107
2014-01-09,73.7,1838.13,130.87,9.39,12.89,68.33,63.9,77.91596984863281,2014-01-01,110.92896443029215,0.0348240572457387,0.001212714963054486
2014-01-10,61.2,1842.37,126.15,9.35,12.14,67.74,65.5,77.91596984863281,2014-01-01,110.92896443029215,0.23040357971461523,0.05308580954530905
2014-01-13,58.9,1819.2,130.59,9.56,13.28,75.71,66.1,77.91596984863281,2014-01-01,110.92896443029215,-1.2655942268644282,1.6017287470725698
2014-01-14,61.6,1838.88,133.43,10.24,12.28,69.31,70.3,77.91596984863281,2014-01-01,110.92896443029215,1.075984662417709,1.1577429937581512
2014-01-15,60.8,1848.38,132.69,10.39,12.28,69.56,72.7,77.91596984863281,2014-01-01,110.92896443029215,0.5152889148329634,0.26552266574973293
2014-01-16,60.8,1845.89,136.35,10.12,12.53,73.98,69.2,77.91596984863281,2014-01-01,110.92896443029215,-0.1348033780458889,0.018171950732582844
2014-01-17,60.3,1838.7,139.62,10.14,12.44,75.72,66.6,77.91596984863281,2014-01-01,110.92896443029215,-0.39027458285236155,0.15231425002058482
2014-01-21,59.5,1843.8,138.77,8.36,12.87,77.78,64.1,77.91596984863281,2014-01-01,110.92896443029215,0.27698592046981874,0.07672120013851275
2014-01-22,60.5,1844.86,138.92,8.36,12.84,74.46,63.4,77.91596984863281,2014-01-01,110.92896443029215,0.05747344722354488,0.0033031971357575986
2014-01-23,62.2,1828.46,135.71,8.65,13.77,78.25,62.5,77.91596984863281,2014-01-01,110.92896443029215,-0.8929311341099138,0.7973260102628168
2014-01-24,63.5,1790.29,131.61,11.22,18.14,97.71,62.6,77.91596984863281,2014-01-01,110.92896443029215,-2.109646461003822,4.4506081904259505
2014-01-27,64.2,1781.56,128.73,11.32,17.42,93.5,59.0,77.91596984863281,2014-01-01,110.92896443029215,-0.4888232923261316,0.2389482111205587
2014-01-28,64.5,1792.5,128.3,11.41,15.8,83.96,52.0,77.91596984863281,2014-01-01,110.92896443029215,0.6121908511444599,0.3747776382249783
2014-01-29,64.5,1774.2,126.71,11.87,17.35,92.47,50.7,77.91596984863281,2014-01-01,110.92896443029215,-1.0261676387288874,1.0530200227744204
2014-01-31,64.7,1782.59,128.37,12.53,18.41,99.66,49.0,77.91596984863281,2014-01-01,110.92896443029215,0.4717745810933023,0.22257125536576086
2014-02-04,66.8,1755.2,127.26,14.73,19.11,100.4,31.1,69.00352478027344,2014-02-01,98.1412278411244,-1.5484552376453864,2.39771362299143
2014-02-06,67.2,1773.43,124.68,15.18,17.23,92.58,25.5,69.00352478027344,2014-02-01,98.1412278411244,1.0332713939124303,1.0676497734777366
2014-02-07,64.7,1797.02,129.01,15.83,15.29,83.17,23.6,69.00352478027344,2014-02-01,98.1412278411244,1.3214212922079904,1.7461542315006353
2014-02-10,62.3,1799.84,126.26,15.84,15.26,79.89,24.6,69.00352478027344,2014-02-01,98.1412278411244,0.15680346623456046,0.024587327023172942
2014-02-11,61.5,1819.75,126.7,16.26,14.51,78.64,25.7,69.00352478027344,2014-02-01,98.1412278411244,1.1001356953851575,1.2102985482605841
2014-02-12,61.0,1819.26,127.84,15.61,14.3,79.56,25.9,69.00352478027344,2014-02-01,98.1412278411244,-0.026930401563143885,0.0007252465283521827
2014-02-13,58.1,1829.83,128.57,15.25,14.14,78.41,23.1,69.00352478027344,2014-02-01,98.1412278411244,0.5793241362750423,0.3356164548708238
2014-02-14,57.3,1838.63,129.25,15.25,13.57,77.49,19.7,69.00352478027344,2014-02-01,98.1412278411244,0.47976627138052635,0.23017567515437287
2014-02-18,56.0,1840.76,124.25,15.25,13.87,75.82,0.0,69.00352478027344,2014-02-01,98.1412278411244,0.11578007430249318,0.013405025605490842
2014-02-19,57.3,1828.75,129.12,15.36,15.5,86.23,-4.0,69.00352478027344,2014-02-01,98.1412278411244,-0.6545856467982497,0.42848236899428294
2014-02-20,58.7,1839.78,134.37,15.47,14.79,79.83,-6.5,69.00352478027344,2014-02-01,98.1412278411244,0.6013325902815457,0.36160088413471336
2014-02-21,58.4,1836.25,138.79,15.48,14.68,78.96,-7.7,69.00352478027344,2014-02-01,98.1412278411244,-0.19205507490625245,0.03688515179724624
2014-02-24,57.4,1847.61,134.47,15.33,14.23,77.84,-11.8,69.00352478027344,2014-02-01,98.1412278411244,0.6167463480648212,0.3803760578512936
2014-02-25,56.8,1845.12,121.92,13.46,13.67,76.46,-14.6,69.00352478027344,2014-02-01,98.1412278411244,-0.13485959587527493,0.01818711059964247
2014-02-26,57.8,1845.16,132.22,13.34,14.35,79.42,-11.4,69.00352478027344,2014-02-01,98.1412278411244,0.0021678571816661323,4.699604760101426e-06
2014-02-27,58.1,1854.29,137.24,13.3,14.04,78.94,-13.2,69.00352478027344,2014-02-01,98.1412278411244,0.4935878866371388,0.243629001834917
2014-02-28,57.7,1859.45,137.17,12.91,14.0,81.45,-13.4,69.00352478027344,2014-02-01,98.1412278411244,0.2778871606797594,0.0772212740706584
2014-03-03,57.8,1845.73,129.12,12.63,16.0,92.84,-15.3,119.83855438232422,2014-03-01,113.49504487205893,-0.7405881878043588,0.5484708639153442
2014-03-04,63.2,1873.91,131.65,13.47,14.1,82.14,-18.7,119.83855438232422,2014-03-01,113.49504487205893,1.5152293854515366,2.2959200905358412
2014-03-05,60.8,1873.81,126.62,10.84,13.89,80.52,-27.9,119.83855438232422,2014-03-01,113.49504487205893,-0.005336577974016258,2.8479064472755466e-05
2014-03-06,61.0,1877.03,133.46,10.58,14.21,79.55,-28.0,119.83855438232422,2014-03-01,113.49504487205893,0.1716949158601179,0.029479144132212965
2014-03-07,58.2,1878.04,130.49,10.56,14.11,83.07,-31.2,119.83855438232422,2014-03-01,113.49504487205893,0.053793938560730996,0.0028937878258757013
2014-03-10,55.7,1877.17,131.35,9.66,14.2,82.35,-31.6,119.83855438232422,2014-03-01,113.49504487205893,-0.04633562520154853,0.0021469901628183795
2014-03-11,55.51,1867.63,130.08,8.74,14.8,85.12,-33.6,119.83855438232422,2014-03-01,113.49504487205893,-0.5095076179252814,0.25959801272389454
2014-03-12,55.1,1868.2,132.33,8.73,14.47,83.45,-34.1,119.83855438232422,2014-03-01,113.49504487205893,0.030515307410829928,0.0009311839863774519
2014-03-13,57.48,1846.34,127.66,8.8,16.22,92.14,-30.1,119.83855438232422,2014-03-01,113.49504487205893,-1.177009932020802,1.3853523800756131
2014-03-14,62.84,1841.13,126.26,8.88,17.82,97.11,-32.7,119.83855438232422,2014-03-01,113.49504487205893,-0.2825787581649674,0.07985075456605514
2014-03-17,61.8,1858.83,131.87,9.14,15.64,87.79,-35.8,119.83855438232422,2014-03-01,113.49504487205893,0.9567743988496134,0.915417250294039
2014-03-18,59.21,1872.25,129.37,9.43,14.52,81.89,-33.5,119.83855438232422,2014-03-01,113.49504487205893,0.719365860408948,0.517487241121906
2014-03-19,65.6,1860.77,132.74,9.58,15.12,81.35,-34.8,119.83855438232422,2014-03-01,113.49504487205893,-0.6150535593061313,0.37829088081514073
2014-03-20,60.8,1872.01,134.02,9.47,14.52,77.03,-32.6,119.83855438232422,2014-03-01,113.49504487205893,0.6022339367196353,0.36268571453682974
2014-03-21,60.8,1866.52,132.82,9.33,15.0,78.64,-32.6,119.83855438232422,2014-03-01,113.49504487205893,-0.2936985363948364,0.08625883028046905
2014-03-24,58.7,1857.44,132.7,9.42,15.09,77.29,-33.8,119.83855438232422,2014-03-01,113.49504487205893,-0.4876538949937361,0.23780632130256182
2014-03-25,58.34,1865.62,121.81,9.32,14.02,74.77,-31.7,119.83855438232422,2014-03-01,113.49504487205893,0.4394241920648026,0.19309362057180451
2014-03-26,57.8,1852.56,119.05,9.67,14.93,76.27,-31.3,119.83855438232422,2014-03-01,113.49504487205893,-0.7024971200665743,0.4935022037018309
2014-03-27,59.4,1849.04,117.96,9.7,14.62,74.71,-31.0,119.83855438232422,2014-03-01,113.49504487205893,-0.19018808412744231,0.03617150734406707
2014-03-28,61.9,1857.62,124.98,9.65,14.41,74.86,-29.5,119.83855438232422,2014-03-01,113.49504487205893,0.4629512997768188,0.21432390596504597
2014-03-31,61.8,1872.34,123.25,10.05,13.88,72.2,-32.6,119.83855438232422,2014-03-01,113.49504487205893,0.7892887011329989,0.6229766537362165
2014-04-01,61.5,1885.52,128.08,9.99,13.1,67.51,-34.1,93.22154235839844,2014-04-01,101.62258475274533,0.7014659430600536,0.49205446927313035
2014-04-02,66.3,1890.9,127.3,8.61,13.09,67.33,-32.8,93.22154235839844,2014-04-01,101.62258475274533,0.2849261279041829,0.0811828983624708
2014-04-03,65.2,1888.77,128.13,8.62,13.37,67.73,-41.8,93.22154235839844,2014-04-01,101.62258475274533,-0.11270826423899495,0.012703152827767109
2014-04-04,58.8,1865.09,126.61,9.52,13.96,69.53,-43.8,93.22154235839844,2014-04-01,101.62258475274533,-1.2616514258563742,1.5917643203654221
2014-04-07,58.8,1845.04,123.92,10.27,15.57,74.51,-45.9,93.22154235839844,2014-04-01,101.62258475274533,-1.0808351829803233,1.1682046927681091
2014-04-08,55.9,1851.96,124.34,10.35,14.89,71.43,-45.2,93.22154235839844,2014-04-01,101.62258475274533,0.37435802443231503,0.14014393045686577
2014-04-09,54.7,1872.18,130.79,10.85,13.82,69.19,-45.2,93.22154235839844,2014-04-01,101.62258475274533,1.085898956046606,1.1791765427431085
2014-04-10,55.4,1833.08,125.11,13.17,15.89,78.56,-41.8,93.22154235839844,2014-04-01,101.62258475274533,-2.1105915074922734,4.454596511498507
2014-04-11,58.6,1815.69,122.59,12.96,17.03,83.94,-40.2,93.22154235839844,2014-04-01,101.62258475274533,-0.9532051442590619,0.908600047041939
2014-04-14,59.2,1830.61,123.76,13.2,16.11,82.2,-37.6,93.22154235839844,2014-04-01,101.62258475274533,0.8183683881893848,0.6697268187876917
2014-04-15,59.2,1842.98,129.24,13.08,15.61,80.67,-32.7,93.22154235839844,2014-04-01,101.62258475274533,0.6734582113406398,0.4535459624221338
2014-04-16,58.0,1862.31,125.43,13.27,14.18,72.08,-30.4,93.22154235839844,2014-04-01,101.62258475274533,1.0433825888179193,1.0886472266483833
2014-04-17,59.5,1864.85,127.93,13.17,13.36,70.08,-26.1,93.22154235839844,2014-04-01,101.62258475274533,0.1362968261737882,0.018576824825047834
2014-04-21,56.8,1871.89,119.11,13.11,13.25,68.62,-23.6,93.22154235839844,2014-04-01,101.62258475274533,0.3767994738389568,0.14197784348531467
2014-04-22,57.1,1879.55,126.51,13.13,13.19,66.74,-22.9,93.22154235839844,2014-04-01,101.62258475274533,0.40837708429826225,0.16677184297994999
2014-04-23,56.6,1875.39,126.11,13.08,13.27,66.22,-27.4,93.22154235839844,2014-04-01,101.62258475274533,-0.22157486947723798,0.04909542278385505
