"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"theta84",-0.037359,0.005247,-7.119716,0,"VentureComposite HousingStart",63772.554521
"w284",2.648508,0.241496,10.967107,0,"VentureComposite HousingStart",-31861.3108071477
"alpha85",0.020989,0.057338,0.366055,0.714324,"VentureComposite IndProd",4.23923330559147
"gamma85",0.251207,0.722921,0.347489,0.728224,"VentureComposite IndProd",0.418721968412016
"beta85",0.84989,0.407641,2.084896,0.037079,"VentureComposite IndProd",0.0177506011427503
"m85",15.552251,5.872253,2.64843,0.008087,"VentureComposite IndProd",63692.270194
"theta85",-0.175118,0.059467,-2.944801,0.003232,"VentureComposite IndProd",63730.2031
"w285",3.621538,2.655805,1.363631,0.172684,"VentureComposite IndProd",-31840.1350968075
"alpha86",0.079824,0.023442,3.405111,0.000661,"VentureComposite CoreInflation",0.213969676980747
"gamma86",0.949627,0.270265,3.51369,0.000442,"VentureComposite CoreInflation",0.384629987174462
"beta86",0.4303,0.164091,2.622321,0.008733,"VentureComposite CoreInflation",0.000822991541128285
"m86",15.492372,0.132917,116.55702,0,"VentureComposite CoreInflation",63763.795138
"theta86",0.005871,0.00099,5.931237,0,"VentureComposite CoreInflation",63801.728044
"w286",1.001001,0.423003,2.366415,0.017961,"VentureComposite CoreInflation",-31875.897569024
"alpha87",0.146295,0.029546,4.951393,1e-06,"VentureComposite PPI",14.3148453747004
"gamma87",1.634376,0.347983,4.696712,3e-06,"VentureComposite PPI",0.427066398596991
"beta87",0.001339,0.193969,0.006904,0.994491,"VentureComposite PPI",0.061133894606461
"m87",15.127917,1.309148,11.555541,0,"VentureComposite PPI",63649.642165
"theta87",-0.230232,0.048909,-4.707322,3e-06,"VentureComposite PPI",63687.575072
"w287",2.966996,1.944513,1.52583,0.127052,"VentureComposite PPI",-31818.8210825551
"alpha88",0.079313,0.006194,12.804617,0,"VentureComposite GDP",1.51716054334024
"gamma88",0.93584,0.063603,14.713706,0,"VentureComposite GDP",0.403809230297373
"beta88",0.438952,0.040074,10.953581,0,"VentureComposite GDP",0.00612643431243766
"m88",15.657155,0.133509,117.273923,0,"VentureComposite GDP",63727.637968
"theta88",-0.099929,0.005058,-19.756284,0,"VentureComposite GDP",63765.570875
"w288",8.271155,0.261529,31.626134,0,"VentureComposite GDP",-31857.8189842115
"alpha89",0.080703,0.034385,2.347041,0.018923,"VentureComposite UMich",1.34021901638271
"gamma89",0.976536,0.436226,2.238599,0.025182,"VentureComposite UMich",0.387527120824438
"beta89",0.415145,0.248199,1.67263,0.0944,"VentureComposite UMich",0.00519371216692952
"m89",15.477825,0.800533,19.334404,0,"VentureComposite UMich",63749.74757
"theta89",-0.137187,0.024157,-5.678969,0,"VentureComposite UMich",63787.680476
"w289",2.459383,0.55583,4.424705,1e-05,"VentureComposite UMich",-31868.8737848773
"alpha90",0.133609,0.029975,4.457373,8e-06,"VentureComposite StLouisStress",11.1459618315804
"gamma90",1.587539,0.318422,4.985639,1e-06,"VentureComposite StLouisStress",0.376605791141061
"beta90",0.001081,0.218574,0.004947,0.996053,"VentureComposite StLouisStress",0.041976337736104
"m90",14.487164,0.228661,63.356438,0,"VentureComposite StLouisStress",63702.576767
"theta90",-0.423439,0.019645,-21.554087,0,"VentureComposite StLouisStress",63740.509674
"w290",1.001,0.101674,9.845165,0,"VentureComposite StLouisStress",-31845.2883837039
"alpha91",0.110914,0.01132,9.798013,0,"VentureComposite GEPU",10.3976680446281
