permno,adate,qdate,public_date,pe_op_basic,pe_exi,roa,rd_sale,TICKER
91103,2021-12-31,2021-12-31,2022-04-30,-3.424,-8.279,-0.034,0.000,UAL
91103,2021-12-31,2022-03-31,2022-05-31,-4.374,-7.770,-0.008,0.000,UAL
91103,2021-12-31,2022-03-31,2022-06-30,-3.253,-5.778,-0.008,0.000,UAL
91103,2021-12-31,2022-03-31,2022-07-31,-3.375,-5.995,-0.008,0.000,UAL
91103,2021-12-31,2022-06-30,2022-08-31,-5.739,-9.286,0.024,0.000,UAL
91103,2021-12-31,2022-06-30,2022-09-30,-5.333,-8.629,0.024,0.000,UAL
91103,2021-12-31,2022-06-30,2022-10-31,-7.062,-11.427,0.024,0.000,UAL
91103,2021-12-31,2022-09-30,2022-11-30,-23.126,-19.039,0.046,0.000,UAL
91103,2021-12-31,2022-09-30,2022-12-31,-19.738,-16.250,0.046,0.000,UAL
91103,2021-12-31,2022-09-30,2023-01-31,-25.634,-21.103,0.046,0.000,UAL
91103,2022-12-31,2022-12-31,2023-02-28,19.908,23.300,0.073,0.000,UAL
91103,2022-12-31,2022-12-31,2023-03-31,16.954,19.843,0.073,0.000,UAL
91103,2022-12-31,2022-12-31,2023-04-30,16.782,19.641,0.073,0.000,UAL
91103,2022-12-31,2023-03-31,2023-05-31,7.570,8.155,0.092,0.000,UAL
91103,2022-12-31,2023-03-31,2023-06-30,8.751,9.428,0.092,0.000,UAL
91103,2022-12-31,2023-03-31,2023-07-31,8.662,9.332,0.092,0.000,UAL
91103,2022-12-31,2023-06-30,2023-08-31,4.803,6.172,0.112,0.000,UAL
91103,2022-12-31,2023-06-30,2023-09-30,4.079,5.242,0.112,0.000,UAL
91103,2022-12-31,2023-06-30,2023-10-31,3.376,4.338,0.112,0.000,UAL
91103,2022-12-31,2023-09-30,2023-11-30,3.588,4.565,0.116,0.000,UAL
91103,2022-12-31,2023-09-30,2023-12-31,3.758,4.781,0.116,0.000,UAL
91103,2022-12-31,2023-09-30,2024-01-31,3.769,4.795,0.116,0.000,UAL
91103,2023-12-31,2023-12-31,2024-02-29,4.417,5.766,0.113,0.000,UAL
91103,2023-12-31,2023-12-31,2024-03-31,4.649,6.068,0.113,0.000,UAL
91103,2023-12-31,2023-12-31,2024-04-30,4.996,6.522,0.113,0.000,UAL
91103,2023-12-31,2024-03-31,2024-05-31,5.004,6.550,0.111,0.000,UAL
91103,2023-12-31,2024-03-31,2024-06-30,4.595,6.015,0.111,0.000,UAL
91103,2023-12-31,2024-03-31,2024-07-31,4.289,5.614,0.111,0.000,UAL
91103,2023-12-31,2024-06-30,2024-08-31,4.720,4.988,0.106,0.000,UAL
91103,2023-12-31,2024-06-30,2024-09-30,6.116,6.462,0.106,0.000,UAL
91103,2023-12-31,2024-06-30,2024-10-31,8.388,8.863,0.106,0.000,UAL
91103,2023-12-31,2024-09-30,2024-11-30,10.892,11.666,0.104,0.000,UAL
91926,2016-12-31,2017-09-30,2018-01-31,11.681,11.729,0.154,0.000,DAL
91926,2017-12-31,2017-12-31,2018-02-28,10.405,10.889,0.160,0.000,DAL
91926,2017-12-31,2017-12-31,2018-03-31,10.581,11.073,0.160,0.000,DAL
91926,2017-12-31,2017-12-31,2018-04-30,10.081,10.549,0.160,0.000,DAL
91926,2017-12-31,2018-03-31,2018-05-31,11.574,12.173,0.155,0.000,DAL
91926,2017-12-31,2018-03-31,2018-06-30,10.608,11.158,0.155,0.000,DAL
91926,2017-12-31,2018-03-31,2018-07-31,11.653,12.257,0.155,0.000,DAL
91926,2017-12-31,2018-06-30,2018-08-31,12.909,13.600,0.149,0.000,DAL
91926,2017-12-31,2018-06-30,2018-09-30,12.766,13.449,0.149,0.000,DAL
91926,2017-12-31,2018-06-30,2018-10-31,12.082,12.728,0.149,0.000,DAL
91926,2017-12-31,2018-09-30,2018-11-30,12.595,13.198,0.143,0.000,DAL
91926,2017-12-31,2018-09-30,2018-12-31,10.353,10.848,0.143,0.000,DAL
91926,2017-12-31,2018-09-30,2019-01-31,10.255,10.746,0.143,0.000,DAL
91926,2018-12-31,2018-12-31,2019-02-28,8.966,8.744,0.134,0.000,DAL
91926,2018-12-31,2018-12-31,2019-03-31,9.340,9.109,0.134,0.000,DAL
91926,2018-12-31,2018-12-31,2019-04-30,10.541,10.280,0.134,0.000,DAL
91926,2018-12-31,2019-03-31,2019-05-31,8.803,8.598,0.138,0.000,DAL
91926,2018-12-31,2019-03-31,2019-06-30,9.701,9.474,0.138,0.000,DAL
91926,2018-12-31,2019-03-31,2019-07-31,10.434,10.190,0.138,0.000,DAL
91926,2018-12-31,2019-06-30,2019-08-31,8.820,8.636,0.143,0.000,DAL
91926,2018-12-31,2019-06-30,2019-09-30,8.780,8.597,0.143,0.000,DAL
91926,2018-12-31,2019-06-30,2019-10-31,8.396,8.221,0.143,0.000,DAL
91926,2018-12-31,2019-09-30,2019-11-30,8.258,8.095,0.148,0.000,DAL
91926,2018-12-31,2019-09-30,2019-12-31,8.427,8.260,0.148,0.000,DAL
91926,2018-12-31,2019-09-30,2020-01-31,8.032,7.873,0.148,0.000,DAL
91926,2019-12-31,2019-12-31,2020-02-29,6.302,6.319,0.147,0.000,DAL
91926,2019-12-31,2019-12-31,2020-03-31,3.898,3.908,0.147,0.000,DAL
91926,2019-12-31,2019-12-31,2020-04-30,3.540,3.549,0.147,0.000,DAL
91926,2019-12-31,2020-03-31,2020-05-31,4.933,4.677,0.124,0.000,DAL
91926,2019-12-31,2020-03-31,2020-06-30,5.489,5.204,0.124,0.000,DAL
91926,2019-12-31,2020-03-31,2020-07-31,4.886,4.633,0.124,0.000,DAL
91926,2019-12-31,2020-06-30,2020-08-31,-14.552,-5.310,0.030,0.000,DAL
91926,2019-12-31,2020-06-30,2020-09-30,-14.425,-5.263,0.030,0.000,DAL
91926,2019-12-31,2020-06-30,2020-10-31,-14.453,-5.274,0.030,0.000,DAL
91926,2019-12-31,2020-09-30,2020-11-30,-5.012,-2.426,-0.038,0.000,DAL
91926,2019-12-31,2020-09-30,2020-12-31,-5.007,-2.424,-0.038,0.000,DAL
91926,2019-12-31,2020-09-30,2021-01-31,-4.727,-2.288,-0.038,0.000,DAL
91926,2020-12-31,2020-12-31,2021-02-28,-4.039,-2.460,-0.086,0.000,DAL
91926,2020-12-31,2020-12-31,2021-03-31,-4.067,-2.477,-0.086,0.000,DAL
91926,2020-12-31,2020-12-31,2021-04-30,-3.953,-2.407,-0.086,0.000,DAL
91926,2020-12-31,2021-03-31,2021-05-31,-3.391,-2.324,-0.114,0.000,DAL
91926,2020-12-31,2021-03-31,2021-06-30,-3.077,-2.108,-0.114,0.000,DAL
91926,2020-12-31,2021-03-31,2021-07-31,-2.838,-1.944,-0.114,0.000,DAL
91926,2020-12-31,2021-06-30,2021-08-31,-4.131,-3.859,-0.073,0.000,DAL
91926,2020-12-31,2021-06-30,2021-09-30,-4.352,-4.066,-0.073,0.000,DAL
91926,2020-12-31,2021-06-30,2021-10-31,-3.997,-3.734,-0.073,0.000,DAL
91926,2020-12-31,2021-09-30,2021-11-30,-5.820,-301.67,-0.036,0.000,DAL
91926,2020-12-31,2021-09-30,2021-12-31,-6.283,-325.67,-0.036,0.000,DAL
91926,2020-12-31,2021-09-30,2022-01-31,-6.381,-330.75,-0.036,0.000,DAL
91926,2021-12-31,2021-12-31,2022-02-28,-8.832,90.727,-0.007,0.000,DAL
91926,2021-12-31,2021-12-31,2022-03-31,-8.754,89.932,-0.007,0.000,DAL
91926,2021-12-31,2021-12-31,2022-04-30,-9.520,97.795,-0.007,0.000,DAL
91926,2021-12-31,2022-03-31,2022-05-31,-15.498,52.772,0.018,0.000,DAL
91926,2021-12-31,2022-03-31,2022-06-30,-10.770,36.671,0.018,0.000,DAL
91926,2021-12-31,2022-03-31,2022-07-31,-11.822,40.253,0.018,0.000,DAL
91926,2021-12-31,2022-06-30,2022-08-31,-41.427,33.409,0.048,0.000,DAL
91926,2021-12-31,2022-06-30,2022-09-30,-37.413,30.172,0.048,0.000,DAL
91926,2021-12-31,2022-06-30,2022-10-31,-45.240,36.484,0.048,0.000,DAL
91926,2021-12-31,2022-09-30,2022-11-30,86.268,294.750,0.063,0.000,DAL
91926,2021-12-31,2022-09-30,2022-12-31,80.146,273.833,0.063,0.000,DAL
91926,2021-12-31,2022-09-30,2023-01-31,95.366,325.833,0.063,0.000,DAL
91926,2022-12-31,2022-12-31,2023-02-28,18.794,18.612,0.078,0.000,DAL
91926,2022-12-31,2022-12-31,2023-03-31,17.118,16.951,0.078,0.000,DAL
