"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w222",63.097626,0.076959,819.889,0,"NASDAQ CESIGL",-5362.05848973516
"alpha21",1e-04,0.012643,0.007916,0.993684,"NASDAQ CESIEUR",0.57014600735616
"gamma21",0.183271,0.044564,4.112574,3.9e-05,"NASDAQ CESIEUR",1.19008928022427
"beta21",0.878788,0.030207,29.091997,0,"NASDAQ CESIEUR",2102.8124513178
"m21",0.421352,0.124733,3.378032,0.00073,"NASDAQ CESIEUR",10736.113397
"theta21",0.004029,0.003598,1.120026,0.262703,"NASDAQ CESIEUR",10773.151465
"w221",64.912698,0.163161,397.845664,0,"NASDAQ CESIEUR",-5362.05669840954
"alpha20",1e-04,0.013201,0.007581,0.993951,"NASDAQ CESICNY",1.74450605930964
"gamma20",0.176921,0.037091,4.769863,2e-06,"NASDAQ CESICNY",1.18577966846362
"beta20",0.884587,0.025585,34.573984,0,"NASDAQ CESICNY",2114.10657501474
"m20",0.462425,0.129854,3.561104,0.000369,"NASDAQ CESICNY",10720.167601
"theta20",0.004766,0.001496,3.185995,0.001443,"NASDAQ CESICNY",10757.205669
"w220",25.551823,0.05996,426.151359,0,"NASDAQ CESICNY",-5354.08380033134
"alpha19",0.002147,0.015187,0.141338,0.887603,"NASDAQ China_Sust",0.811136024412447
"gamma19",0.185944,0.04348,4.276549,1.9e-05,"NASDAQ China_Sust",1.19010941489188
"beta19",0.871741,0.026729,32.613605,0,"NASDAQ China_Sust",2098.34685982061
"m19",0.380925,0.125811,3.027754,0.002464,"NASDAQ China_Sust",10735.377721
"theta19",2.252333,0.152736,14.746572,0,"NASDAQ China_Sust",10772.415789
"w219",1.168534,0.140653,8.307924,0,"NASDAQ China_Sust",-5361.68886066672
"alpha18",0.002554,0.016354,0.156184,0.875888,"NASDAQ GER_Sust",0.126169672963402
"gamma18",0.184822,0.044273,4.174603,3e-05,"NASDAQ GER_Sust",1.191710366269
"beta18",0.873443,0.028401,30.753493,0,"NASDAQ GER_Sust",2102.66774750501
"m18",0.425103,0.112854,3.766828,0.000165,"NASDAQ GER_Sust",10741.32467
"theta18",1.341918,0.047285,28.379233,0,"NASDAQ GER_Sust",10778.362738
"w218",1.729328,0.060577,28.547462,0,"NASDAQ GER_Sust",-5364.6623352045
"alpha17",0.002347,0.015854,0.148023,0.882325,"NASDAQ US_Sust",0.017441480964886
"gamma17",0.184814,0.044047,4.195817,2.7e-05,"NASDAQ US_Sust",1.19204616891963
"beta17",0.873828,0.028094,31.103643,0,"NASDAQ US_Sust",2104.08207169518
"m17",0.433361,0.128476,3.373088,0.000743,"NASDAQ US_Sust",10742.61806
"theta17",0.372947,0.157731,2.364446,0.018057,"NASDAQ US_Sust",10779.656127
"w217",1.001001,0.379465,2.637926,0.008341,"NASDAQ US_Sust",-5365.30902979815
"alpha16",0.002203,0.015747,0.139887,0.888749,"NASDAQ Global_Sust",0.000949891358333149
"gamma16",0.185093,0.039264,4.714025,2e-06,"NASDAQ Global_Sust",1.19214293128275
"beta16",0.873599,0.026094,33.478949,0,"NASDAQ Global_Sust",2103.43538676148
"m16",0.445006,0.044285,10.048704,0,"NASDAQ Global_Sust",10742.839981
"theta16",0.259206,0.376888,0.687753,0.491608,"NASDAQ Global_Sust",10779.878049
"w216",1.001003,0.262346,3.815586,0.000136,"NASDAQ Global_Sust",-5365.41999032989
"alpha15",0.000101,0.014103,0.007139,0.994304,"NASDAQ Saudi_GPR",0.555922258700414
"gamma15",0.199338,0.039542,5.041153,0,"NASDAQ Saudi_GPR",1.18947642541246
"beta15",0.86613,0.02207,39.244709,0,"NASDAQ Saudi_GPR",2085.09299919288
"m15",0.464171,0.100983,4.596513,4e-06,"NASDAQ Saudi_GPR",10732.71885
"theta15",-5.759924,0.094028,-61.257236,0,"NASDAQ Saudi_GPR",10769.756918
"w215",1.490067,0.115507,12.900177,0,"NASDAQ Saudi_GPR",-5360.35942524479
"alpha14",0.001505,0.01617,0.093062,0.925855,"NASDAQ GER_GPR",0.0201725340600247
"gamma14",0.186057,0.04599,4.045565,5.2e-05,"NASDAQ GER_GPR",1.19210540680737
"beta14",0.873439,0.028944,30.177262,0,"NASDAQ GER_GPR",2102.08500304879
"m14",0.444205,0.167523,2.651609,0.008011,"NASDAQ GER_GPR",10742.696999
"theta14",-0.542087,0.310819,-1.744063,0.081148,"NASDAQ GER_GPR",10779.735067
"w214",1.509706,0.08264,18.268458,0,"NASDAQ GER_GPR",-5365.34849971925
"alpha13",1e-04,0.016356,0.006121,0.995116,"NASDAQ USA_GPR",1.02596289287251
"gamma13",0.196404,0.037309,5.264249,0,"NASDAQ USA_GPR",1.18853986092368
"beta13",0.867408,0.023026,37.671214,0,"NASDAQ USA_GPR",2087.39135308172
"m13",0.4527,0.133822,3.382851,0.000717,"NASDAQ USA_GPR",10729.168168
"theta13",-1.932278,0.817358,-2.364052,0.018076,"NASDAQ USA_GPR",10766.206236
"w213",1.367623,0.328216,4.166837,3.1e-05,"NASDAQ USA_GPR",-5358.58408398734
"alpha12",0.000101,0.015766,0.006375,0.994914,"NASDAQ China_GPR",0.440088164989697
"gamma12",0.191509,0.04213,4.545728,5e-06,"NASDAQ China_GPR",1.18994383982339
"beta12",0.870469,0.025526,34.101907,0,"NASDAQ China_GPR",2098.95346312316
"m12",0.446312,0.116381,3.83493,0.000126,"NASDAQ China_GPR",10734.342426
"theta12",-3.671171,0.083279,-44.082657,0,"NASDAQ China_GPR",10771.380494
"w212",1.304545,0.549577,2.373728,0.01761,"NASDAQ China_GPR",-5361.17121299478
"alpha11",1e-04,0.015935,0.006285,0.994986,"NASDAQ Global_GPR",0.946647951339254
"gamma11",0.194041,0.042461,4.569863,5e-06,"NASDAQ Global_GPR",1.18905240556815
"beta11",0.869544,0.024747,35.136895,0,"NASDAQ Global_GPR",2096.11232494168
"m11",0.450824,0.135903,3.317251,0.000909,"NASDAQ Global_GPR",10731.139012
"theta11",-0.038329,0.015571,-2.461515,0.013835,"NASDAQ Global_GPR",10768.17708
"w211",1.640521,0.124434,13.183902,0,"NASDAQ Global_GPR",-5359.5695061376
"alpha10",1e-04,0.016834,0.005941,0.99526,"NASDAQ China_EPU",2.03960008023317
"gamma10",0.204712,0.041043,4.98771,1e-06,"NASDAQ China_EPU",1.18700563895078
"beta10",0.859205,0.022307,38.51707,0,"NASDAQ China_EPU",2093.85252134379
"m10",0.001593,0.239966,0.006639,0.994703,"NASDAQ China_EPU",10724.76015
"theta10",0.002128,0.000821,2.590723,0.009577,"NASDAQ China_EPU",10761.798218
"w210",1.001002,0.157416,6.35894,0,"NASDAQ China_EPU",-5356.38007494175
"alpha9",1e-04,0.034264,0.002919,0.997671,"NASDAQ US_EPU",3.8123184391925
"gamma9",0.235237,0.083611,2.813452,0.004901,"NASDAQ US_EPU",1.17671595984837
"beta9",0.83806,0.020867,40.162259,0,"NASDAQ US_EPU",2100.01951029273
"m9",-0.648903,3.231471,-0.200807,0.840849,"NASDAQ US_EPU",10688.681473
"theta9",0.008008,0.015101,0.530308,0.595899,"NASDAQ US_EPU",10725.719541
"w29",5.253175,2.834771,1.853121,0.063865,"NASDAQ US_EPU",-5338.34073642967
"alpha8",1e-04,0.016106,0.006213,0.995043,"NASDAQ STLStress",1.55706440083852
"gamma8",0.225132,0.035395,6.360635,0,"NASDAQ STLStress",1.18766821923233
"beta8",0.845545,0.017551,48.175777,0,"NASDAQ STLStress",2106.87534342976
"m8",0.555401,0.114101,4.867611,1e-06,"NASDAQ STLStress",10727.410234
"theta8",0.480336,0.225259,2.132368,0.032977,"NASDAQ STLStress",10764.448302
